title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Data Scientist,Indotronix Avani UK Ltd,"St. Augustines, Bristol","Role: Lead Data Scientist /Senior Data Scientist / Data Scientist Location: Bristol-United Kingdom Work Model: Hybrid - 2 days Onsite in a Week Annual Salary: £45K-£70K GBP per annum depending on the experience level for the 3 positions opened for Lead Data Scientist /Senior Data Scientist / Data Scientist Note: Security Clearance- Given the nature of some of the work involved, the ability to obtain Security Clearance is essential, as well as having a British Passport  Join our esteemed clients…",https://www.adzuna.co.uk/jobs/land/ad/5124100679?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=BA6BB3F436B197142FD02D5CCF7312BB258205E9,50000,50000,2025-04-02T13:43:37Z
Lead Data Scientist - Bristol,GMA Consulting,"Bristol, South West England","Lead Data Scientist - Bristol THIS IS A HYBRID ROLE, YOU MUST BE ABLE TO COMMUTE TO BRISTOL EXCELLENT BENEFITS PACKAGE AND WORKING ENVIRONMENT The Company: The company is a leader in its field and is an Insurance business with an excellent reputation both in the UK and abroad. The Role: Lead Data Scientist To lead the data science initiatives and drive innovation in the healthcare industry. You'll have the opportunity to leverage your expertise in data analysis and machine learning within a dyn…",https://www.adzuna.co.uk/jobs/land/ad/5124103180?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=75B810349CD7FAFAB5285A502F9A0F67C777E458,100000,100000,2025-04-02T13:45:17Z
Data Scientist,IC Resources,"Bristol, South West England","Data Scientist Bristol, UK (Hybrid) IC Resources is seeking a Data Scientist to join our client’s innovative team in Bristol. This is an exciting opportunity to work on advanced ML models that drive next-generation breakthroughs in sensor technology. Essential Experience: BSc or MSc in Mathematics, Physics, Computer Science, Machine Learning or related. 3 years industry experience in machine learning, deep learning, and data science. Experience in analysing complex datasets and driving insights…",https://www.adzuna.co.uk/jobs/land/ad/5124368796?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=5A84F65CCCA11C19D96C5D6C2F648D1CD9D20991,46820.12,46820.12,2025-04-02T16:17:01Z
Senior Data Scientist,Planning Inspectorate,"Easton, Bristol","Details Reference number 394998 Salary £45,219 - £49,462 plus DDaT Allowance up to £12,181 A Civil Service Pension with an employer contribution of 28.97% GBP Job grade Senior Executive Officer Contract type Permanent Business area PINS - Corporate Services - Digital and Data Type of role Analytical Digital Statistics Working pattern Flexible working, Full-time, Part-time, Compressed hours Number of jobs available 4 Contents Location About the job Benefits Things you need to know Apply and furt…",https://www.adzuna.co.uk/jobs/details/5107899245?utm_medium=api&utm_source=9b195f40,46009.92,46009.92,2025-03-23T17:11:50Z
Senior Data Scientist,Indotronix Avani UK Ltd,"Bristol, South West England","Role: Lead Data Scientist /Senior Data Scientist / Data Scientist Location: Bristol-United Kingdom Work Model: Hybrid - 2 days Onsite in a Week Annual Salary: £45K-£70K GBP per annum depending on the experience level for the 3 positions opened for Lead Data Scientist /Senior Data Scientist / Data Scientist Note: Security Clearance- Given the nature of some of the work involved, the ability to obtain Security Clearance is essential, as well as having a British Passport  Join our esteemed clients…",https://www.adzuna.co.uk/jobs/details/5072387611?utm_medium=api&utm_source=9b195f40,50000,50000,2025-03-03T17:42:16Z
Senior Data Scientist,"Indotronix Avani UK, Ltd.","Bristol, South West England","Role: Senior Data Scientist Project Duration: Fulltimejob /Permanent job (Annual Salary £55,000-£60,000 GBP Per annum) Work Model: Hybrid role 2 Days Onsite in a Week must at Bristol -UK Location: Bristol-UK Senior Data Scientists play a pivotal role in comprehending intricate business challenges and formulating them into testable hypotheses for comprehensive analysis. As a senior member of the data science capability team, you will collaborate within a diverse, multi-disciplinary team, engagin…",https://www.adzuna.co.uk/jobs/details/5104899042?utm_medium=api&utm_source=9b195f40,55000,60000,2025-03-21T16:20:58Z
Data Science Placement Programme,Career Change,"Bristol, South West England","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978243441?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=5B2E8A0B5C5EAADDBF3623C87D145232DEA704F7,29571.69,29571.69,2024-12-14T18:34:47Z
SENIOR DATA SCIENTIST - Computer Vision / Generative AI HYBRID,ARCA Resourcing Ltd,"Bristol, South West England","Senior Data Scientist - Computer Vision / AI Data Scientist / Generative AI HYBRID / BRISTOL 3 days per week Unlock the Power of AI Innovation Join my client, an AI trailblazer with an international presence, helping industries like healthcare, sports, manufacturing, and agriculture transform through advanced artificial intelligence solutions. As a Data Scientist specialising in Computer Vision, you'll play a pivotal role in developing machine learning products that redefine what AI can achieve…",https://www.adzuna.co.uk/jobs/land/ad/4992234585?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=13C2CA8E6E9921DC8A2C50EB84125673C3AFF0E2,70000,90000,2024-12-30T15:04:42Z
Data & Analytics Lead Analyst,Motability Operations,"Bristol, South West England","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. In this role you will combine hands-on development in cloud based technologies, alongside direct management of a team of multi-skilled data analysts and data scientists delivering key data solutions. Your creative approach …",https://www.adzuna.co.uk/jobs/land/ad/5123364210?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=7FCF843ED636C957BFF0F33C3BED5773F0587FAD,48907.48,48907.48,2025-04-02T05:19:11Z
Principal Naval Architect (Weights),BAE Systems,"Easton, Bristol","Job Title: Principal Naval Architect (Weights) Location: Barrow-In-Furness, Brough, Filton, Frimley, Manchester, Portsmouth, Weymouth We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: Competitive What you’ll be doing: Lead the collation strategy for mass properties data to deliver weight and centroid control on multi billion pound submarine programmes Responsible for aggregating weight and centroid r…",https://www.adzuna.co.uk/jobs/land/ad/5048953830?se=kFQ2qr8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=3695FE4935BE7601C592368CCE828FCE7C3E28C3,53193.47,53193.47,2025-02-13T22:07:58Z
