title,company,location,description,redirect_url,salary_min,salary_max,created
Data Scientist,Keller Executive Search,"Cardiff, Cardiff County","Keller Executive Search is currently looking for a talented Data Scientist to join their dynamic team. In this role, you will harness the power of data to derive insights and support key business decisions across a range of strategic initiatives. You will be responsible for utilizing advanced statistical methods, machine learning algorithms, and data visualization techniques to tackle complex data challenges. Your work will involve working with large datasets, conducting analyses, and presentin…",https://www.adzuna.co.uk/jobs/details/5124562179?utm_medium=api&utm_source=9b195f40,108000,156000,2025-04-02T18:22:44Z
Data Science Placement Programme,Career Change,"Grangetown, Cardiff","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978246487?se=SP_Tn78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=565DE4F70A82A41B963C55A1A9792188AB96FB23,29580.92,29580.92,2024-12-14T18:37:36Z
Technical Senior Data Scientist,Admiral,"Cardiff, Cardiff County","Closing date 24/03/2025 Join Admiral's quest for innovation as we seek a curious mind eager to make waves with advanced analytics. With a passion for machine learning and a drive to stay ahead of the curve, you'll be instrumental in shaping the future as the industry evolves. Data and technology are at the heart of our business strategy, propelling our market-leading products forward with the support of a large, dedicated Data Science team that delivers AI and machine learning in our Pricing Da…",https://www.adzuna.co.uk/jobs/details/5107899147?utm_medium=api&utm_source=9b195f40,48339.39,48339.39,2025-03-23T17:11:49Z
Lead Web Analyst,Confused.com,"Blackweir, Cardiff","Location: Cardiff, 2 days/week in-office In 2002, we became the first insurance comparison site. Our purpose? To make the process of sorting your insurance, utilities or personal finances as easy as possible. Were part of RVU. A group of online brands that include Uswitch, Tempcover and money.co.uk. As a group, we use our shared knowledge to empower people, and help them make decisions confidently across a range of household services.Confused.com is at the cutting edge of the FinTech industry, …",https://www.adzuna.co.uk/jobs/land/ad/5121410673?se=SP_Tn78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=788AE24C53811C7E3B6CA533EA32465338452CB2,50334.72,50334.72,2025-04-01T13:41:42Z
Trainee Data Analyst,Alfred Rennox,"Cardiff, Cardiff County","Start your data career with a market-leading organization As a Trainee Data Analyst, you'll develop expertise in data analysis, visualization, and decision-making, helping to drive business success. Key Responsibilities: Analyze datasets to identify trends and support strategic decisions. Develop insightful reports and dashboards. Collaborate with senior analysts on impactful projects. Work with cutting-edge data tools and technologies. Requirements: Bachelors degree in Data Science, Statistics…",https://www.adzuna.co.uk/jobs/details/5098038358?utm_medium=api&utm_source=9b195f40,30000,30000,2025-03-18T01:28:05Z
Junior Data Consultant,Sparta Global Limited,"Cardiff, Cardiff County","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/details/5122019314?utm_medium=api&utm_source=9b195f40,25000,25000,2025-04-01T18:39:23Z
Head of Nesta Cymru,Nesta,"Cardiff, Cardiff County","Permanent - this is a full-time role but we offer a range of flexible working arrangements and encourage our people to take advantage of them. Cardiff, Wales – hybrid working arrangement We are recruiting for a Head of Nesta Cymru About Nesta We are Nesta, the UK’s innovation agency for social good. We design, test and scale solutions to society’s biggest problems. Our three missions are to give every child a fair start, help people live healthy lives, and create a sustainable future where the …",https://www.adzuna.co.uk/jobs/land/ad/5122924410?se=SP_Tn78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=BEF4D6BE90E3A1209284058E03893128632F9CAA,60717.92,60717.92,2025-04-01T22:42:10Z
Improvement Analyst - INTERNAL TO NHS WALES,Public Health Wales,"Cardiff, Cardiff County","Job summary PLEASE NOTE THAT WE WILL ONLY ACCEPT APPLICATIONS FROM STAFF CURRENTLY EMPLOYED BY NHS WALES. This is an exciting opportunity for an individual who loves exploring data, building models, and communicating the findings to multi-disciplinary teams. Whether you are an analyst, data scientist, computer scientist, social scientist or maths or physics whizz; we are less concerned by the specifics of your credentials and more interested by your curiosity and ability to creatively interpret…",https://www.adzuna.co.uk/jobs/details/5097622101?utm_medium=api&utm_source=9b195f40,30420,37030,2025-03-17T18:31:12Z
Finance Manager,Empirisys,"Gabalfa, Cardiff","About Empirisys: Our purpose lies in the application of engineering and data science to help our clients solve process safety and related problems and reduce catastrophic risk. We achieve this through consultancy services and via SaaS products and we target high hazard and highly regulated sectors. We have a very strong technical team comprising engineering, operations and data science experts and a very exciting and highly innovative product road map. Established in October 2020, we remain foc…",https://www.adzuna.co.uk/jobs/details/5088952852?utm_medium=api&utm_source=9b195f40,48000,48000,2025-03-12T15:30:53Z
Lead Web Analyst,Confused.com,"Cardiff, Cardiff County","Location: Cardiff, 2 days/week in-office In 2002, we became the first insurance comparison site. Our purpose? To make the process of sorting your insurance, utilities or personal finances as easy as possible. Were part of RVU. A group of online brands that include Uswitch, Tempcover and money.co.uk. As a group, we use our shared knowledge to empower people, and help them make decisions confidently across a range of household services.Confused.com is at the cutting edge of the FinTech industry, …",https://www.adzuna.co.uk/jobs/details/5112757695?utm_medium=api&utm_source=9b195f40,53167.46,53167.46,2025-03-26T22:57:44Z
Recruitment Consultant,Yolk Recruitment Ltd,"Cardiff, Cardiff County","TALENT CONSULTANT - 360 PERMANENT RECRUITMENT - CARDIFF/HYBRID - £30,000/£40,000 PER ANNUM  COMMS & BENEFITS Yolk Technology & Digital work with industry-leading employers across the UK and Ireland. We cover hundreds of opportunities, across a huge breadth of technology verticals with household names, savvy start-ups, and heavyweight titans of future-thinking software. Our specialist Technology & Digital recruitment team span two continents and are experts in placing top tech talent into temp, …",https://www.adzuna.co.uk/jobs/details/5105772128?utm_medium=api&utm_source=9b195f40,30000,40000,2025-03-22T05:33:34Z
Recruitment Consultant,Yolk Recruitment,"Grangetown, Cardiff","TALENT CONSULTANT - 360 PERMANENT RECRUITMENT - CARDIFF/HYBRID - £30,000/£40,000 PER ANNUM  COMMS & BENEFITS Yolk Technology & Digital work with industry-leading employers across the UK and Ireland. We cover hundreds of opportunities, across a huge breadth of technology verticals with household names, savvy start-ups, and heavyweight titans of future-thinking software. Our specialist Technology & Digital recruitment team span two continents and are experts in placing top tech talent into temp, …",https://www.adzuna.co.uk/jobs/land/ad/5105421759?se=SP_Tn78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=3A5966DE2C1385C62CBFDE3E22ABDCC337145E2A,30000,40000,2025-03-21T23:03:39Z
Data Platform Engineer,Zimmer Biomet,"Cardiff, Cardiff County","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418596?utm_medium=api&utm_source=9b195f40,50463.34,50463.34,2025-03-28T18:58:00Z
Testing Lead,Legal & General,"Cardiff, Cardiff County","Company Description Legal & General is a leading UK financial services group and major global investor. We've been safeguarding people's financial futures since 1836, aiming to build a better society for the long term by investing our customers' money in things that make life better for everyone and create value for our shareholders. Our Group Functions provide the services that all areas of the business need. This requires a talented and diverse team behind the scenes, who enable everyone at L…",https://www.adzuna.co.uk/jobs/details/5110447827?utm_medium=api&utm_source=9b195f40,54157.44,54157.44,2025-03-25T14:56:46Z
