title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Trainee,IT Career Switch,"Coventry, West Midlands","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104462173?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:09:36Z
Industry 4.0 Sr Application Developer,Lear Corporation,"Coventry, West Midlands","Industry 4.0 Sr Application Developer Driving the future of automotive. We’re Lear For You. Company Overview Lear, a global automotive technology leader in Seating and E-Systems, enables superior in-vehicle experiences for consumers around the world. Our diverse team of more than 165,000 talented employees in 37 countries is driven by a commitment to innovation, operational excellence, and sustainability. Lear is Making every drive better™ by providing the technology for safer, smarter, and mor…",https://www.adzuna.co.uk/jobs/land/ad/5124371052?se=moObsb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=29C2C8BE4BE6E8EDF13C27717150864E820FC1F7,53586.96,53586.96,2025-04-02T16:17:39Z
Junior Data Analyst,e-Careers Limited,"Baginton, Coventry","Are you looking to start a career in data analysis but don’t have prior experience? Join our team as a Trainee Data Analyst, and we will provide all the training you need to succeed in this exciting field. This role is perfect for someone analytical, curious, and eager to learn, with a passion for working with data. As a Trainee Data Analyst, you will work alongside experienced professionals and gain hands-on experience in data processing, analysis, and visualisation. We’re committed to your de…",https://www.adzuna.co.uk/jobs/details/4995239296?utm_medium=api&utm_source=9b195f40,28000,35000,2025-01-02T11:01:03Z
Data Quality and Testing Internship,E.ON,"Coventry, West Midlands","Here's what you'll be doingWe are E.ON and we're leading the energy transition. Providing smart, sustainable and personalised solutions for customers at home, in business and across entire towns and cities.We make sure everything we do is focused on our customers, helping them with the major changes that are happening today and creating a new energy world that is decentralised, green, and interconnected. We've been a driving force behind the UK's renewable revolution for more than 25 years and,…",https://www.adzuna.co.uk/jobs/details/5110017561?utm_medium=api&utm_source=9b195f40,39332.31,39332.31,2025-03-25T11:54:41Z
Web Developer Trainee,ITOL Recruitment,"Coventry, West Midlands","Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which …",https://www.adzuna.co.uk/jobs/details/5097710389?utm_medium=api&utm_source=9b195f40,25000,35000,2025-03-17T19:54:58Z
Trainee Software Developer,ITOL Recruitment,"Coventry, West Midlands","Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, w…",https://www.adzuna.co.uk/jobs/details/5092174942?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-13T21:47:30Z
Coding and Programming Trainee,ITOL Recruitment,"Coventry, West Midlands","Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tut…",https://www.adzuna.co.uk/jobs/details/5108911196?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-24T16:25:25Z
Data Analyst,NHS Counter Fraud Authority,"Baginton, Coventry","Job summary The NHS Counter Fraud Authority is the national body responsible for all matters relating to the prevention, detection and investigation of economic crime across the NHS. Further information about our work and annual plan for delivering this is available on our website. Our new team are embarking on a piece of work to monitor data to identify and respond to patterns indicative of potential fraud. This will support our current work that reduces the likelihood of fraud occurring. We w…",https://www.adzuna.co.uk/jobs/details/5118395845?utm_medium=api&utm_source=9b195f40,29970,36483,2025-03-30T02:05:52Z
RAQ Technician - QC,SFM,"Binley, Coventry","RAQ Technician - QC Location: Coventry, CV3 2RQ Salary: DOE Contract: Full Time - Permanent Working hours: 14:30 - 22:30 Monday to Friday Benefits: Salary DOE Contributory pension scheme 33 days holiday (including bank holidays) Life cover Incapacity benefits Cash Back Medical Scheme About the Company: We are an innovative medical devices manufacturer of advanced wound care products, including combination products, from gelling fibres and fabrics. We deliver innovative, cost effective and quali…",https://www.adzuna.co.uk/jobs/land/ad/5099522385?se=moObsb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=8DB732F673EEA763711B3CC93B1303A87F4A69B1,25128.76,25128.76,2025-03-18T19:50:47Z
RAQ Technician - QC (FTC 6-12 months),SFM,"Binley, Coventry","RAQ Technician - QC (FTC 6-12 months) Location: Coventry, CV3 2RQ Salary: DOE Contract: FTC 6-12 months Working hours: 14:30 - 22:30 Monday to Friday Benefits: Salary DOE Contributory pension scheme 33 days holiday (including bank holidays Life cover Incapacity benefits Cash Back Medical Scheme About the Company: We are an innovative medical devices manufacturer of advanced wound care products, including combination products, from gelling fibres and fabrics. We deliver innovative, cost effectiv…",https://www.adzuna.co.uk/jobs/land/ad/5097960656?se=moObsb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=4D34CD36F8678DCE4F3194AE5C28DDE98135BB48,22433.33,22433.33,2025-03-17T23:36:03Z
