title,company,location,description,redirect_url,salary_min,salary_max,created
"Data Scientist, Vice President",BlackRock,"Edinburgh, Scotland","Since our founding over 30 years ago, BlackRock has brought together great minds to drive innovation. From the beginning, we have been demonstrating technology for insight and efficiency to make our business better and to help clients realize the objectives they desire. At BlackRock, there is a rich problem space for data scientists and engineers across all areas of the business including investments, sales, marketing, operations, product, UX, etc. and the potential to have large scale impact. …",https://www.adzuna.co.uk/jobs/land/ad/5062231385?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=4057935A6C04D87EFB456CEBACC6041571A20909,75511.52,75511.52,2025-02-24T16:53:14Z
CRM Data Scientist,aberdeen,"Edinburgh, Scotland","Job Description We are a global investment company that helps clients and customers to plan, save and invest for the future. By doing so, we enable our clients and customers to be better investors. Strengthening talent and culture is one of our strategic priorities. We strive to make abrdn a great place to work so that we can attract and retain the industry’s best talent. Our people put our stakeholders at the heart of everything they do by helping us to make a positive difference to the lives …",https://www.adzuna.co.uk/jobs/details/5098370326?utm_medium=api&utm_source=9b195f40,35575.48,35575.48,2025-03-18T07:02:23Z
Data Science Placement Programme,Career Change,"Edinburgh, Scotland","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978243440?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=B264D46FC0FA8EA7BBDAC1D97E0548B53DB8C063,30204.42,30204.42,2024-12-14T18:34:47Z
"Data Scientist, Vice President",BlackRock,"Edinburgh, Scotland","About this role AI Labs Overview: Since our founding over 30 years ago, BlackRock has brought together great minds to drive innovation. From the beginning, we have been demonstrating technology for insight and efficiency to make our business better and to help clients realize the objectives they desire. At BlackRock, there is a rich problem space for data scientists and engineers across all areas of the business including investments, sales, marketing, operations, product, UX, etc. and the pote…",https://www.adzuna.co.uk/jobs/details/5052006462?utm_medium=api&utm_source=9b195f40,78201.65,78201.65,2025-02-16T11:02:33Z
Data & Analytics Lead Analyst,Motability Operations,"Leith, Edinburgh","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. In this role you will combine hands-on development in cloud based technologies, alongside direct management of a team of multi-skilled data analysts and data scientists delivering key data solutions. Your creative approach …",https://www.adzuna.co.uk/jobs/land/ad/5123364199?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=5EE6B0AFE8234051622AF6BEE37A31222405B592,49111.26,49111.26,2025-04-02T05:19:11Z
"Software Engineer, AI Labs, Associate",BlackRock,"Edinburgh, Scotland","At BlackRock, technology has always been at the core of what we do – and today, our technologists continue to shape the future of the industry with their innovative work. We are not only curious but also collaborative and eager to embrace experimentation as a means to solve complex challenges. Here you’ll find an environment that promotes working across teams, businesses, regions and specialties – and a firm committed to supporting your growth as a technologist through curated learning opportun…",https://www.adzuna.co.uk/jobs/land/ad/5062231346?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=FAB90D5C686742A63AB0A854F92937EF02FF0B58,72932.84,72932.84,2025-02-24T16:53:13Z
Data Security Engineer,Motability Operations,"Leith, Edinburgh","Description The Data Security Engineer is responsible for designing, implementing, and maintaining MO's data security frameworks to safeguard sensitive information against unauthorised access, breaches and cyber threats. This role focuses on identifying vulnerabilities, establishing robust security protocols and ensuring compliance with industry standards and regulatory requirements. The Data Security Engineer collaborates with cross-functional teams to develop security solutions that align wit…",https://www.adzuna.co.uk/jobs/land/ad/5123362411?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=52C4CBC82510865736FD52B5B9427A9A80E7E59F,51319.8,51319.8,2025-04-02T05:19:00Z
Planning Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,"Edinburgh, Scotland","Job Description Turner & Townsend are leaders in professional services to the Data Centres, Life Sciences, Pharma, R&D facilities, Industrial, Manufacturing, Distribution & Logistics sectors globally. Job Objectives As an experienced Project Controls Professional in life sciences or data centres you will establish the required processes, templates and tools, and agree the baseline for cost and schedule, whilst monitoring performance against it and incorporating the impacts of risk, opportunitie…",https://www.adzuna.co.uk/jobs/details/5125984389?utm_medium=api&utm_source=9b195f40,51053.36,51053.36,2025-04-03T07:30:05Z
Junior Data Consultant,Sparta Global Limited,"Edinburgh, Scotland","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846296?se=SGVqnr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=D9BB306149F6D246D7FB153266B4C8D9C7A773EB,24000,24000,2025-04-01T17:45:17Z
Data Engineer,Royal London Group,"Edinburgh, Scotland","Job Title: Data Engineer Contract Type: Permanent Location: Edinburgh, Glasgow, Alderley Park Working style: Hybrid 50% home/office based We currently have a fantastic opportunity for a Data Engineer to join our Royal London Group Data Office Team (GDO).The successful candidate will define, manage, and deliver the data, tools and other technical assets to enable analytics, data science, and Machine Learning projects. These initiatives will create insights, answer key business questions, solve b…",https://www.adzuna.co.uk/jobs/details/5066552110?utm_medium=api&utm_source=9b195f40,53900.53,53900.53,2025-02-28T08:23:35Z
"Software Engineer, AI Labs, Associate",BlackRock,"Edinburgh, Scotland","About this role AI Labs Overview: Since our founding over 30 years ago, BlackRock has brought together great minds to drive innovation. From the beginning, we have been demonstrating technology for insight and efficiency to make our business better and to help clients realize the objectives they desire. At BlackRock, there is a rich problem space for data scientists and engineers across all areas of the business including investments, sales, marketing, operations, product, UX, etc. and the pote…",https://www.adzuna.co.uk/jobs/details/5052006477?utm_medium=api&utm_source=9b195f40,70957.75,70957.75,2025-02-16T11:02:33Z
"Senior Software Engineer, AI & ML, Vice President",BlackRock,"Edinburgh, Scotland","About this role Senior Software Engineer - Machine Learning A I Labs Overview:? Since our founding over 30 years ago, BlackRock has brought together great minds to drive innovation. From the beginning, we have been demonstrating technology for insight and efficiency to make our business better and to help clients realize the objectives they desire. At BlackRock, there is a rich problem space for data scientists and engineers across all areas of the business including investments, sales, marketi…",https://www.adzuna.co.uk/jobs/details/5085513792?utm_medium=api&utm_source=9b195f40,97176.98,97176.98,2025-03-10T18:28:01Z
