title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Trainee,IT Career Switch,"Glasgow City Centre, Glasgow","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104470137?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:11:23Z
Data Science Placement Programme,Career Change,"Glasgow, Scotland","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978246455?se=_tk3pr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=97C2F2750896734434E97B6AC3E94BF765C6151F,30567.07,30567.07,2024-12-14T18:37:36Z
Innovation Apprenticeship 2025,Dentons,"Glasgow, Scotland","In 2025 Dentons are excited to launch our first Innovation Apprenticeship Programme If you’re currently a year 13 student or a school leaver based in Scotland who isn’t going on to study a full-time degree in September 2025, we want to hear from you. We are seeking an Apprentice to join our Scottish Innovation Team in reshaping the future of law and pushing the boundaries of what’s possible. As an Apprentice within Dentons Innovation Team, you will be enrolled in a Data Science and AI Graduate …",https://www.adzuna.co.uk/jobs/land/ad/5079204856?se=_tk3pr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=B3991EFB6336FAD71444FDC503F805C5670F6570,23000,23000,2025-03-06T13:11:13Z
Project Scientist in Pharmaceutical Manufacturing for Industry 5.0,University of Strathclyde,"Glasgow, Scotland","Contract Type: Fixed Term (36 months) FTE: 1 (35 hours/week) Closing Date: 08/04/2025 Working Arrangements: Fully On-site. Due to the nature of this role, it is based fully on-site. Work Location: Technology & Innovation Centre, Glasgow CMAC is a world leading medicines manufacturing research centre based in the Technology and Innovation Centre (TIC) at the University of Strathclyde. The Centre works closely with leading pharmaceutical companies to transform the way that medicines are developed…",https://www.adzuna.co.uk/jobs/land/ad/5124124534?se=_tk3pr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=45626CA676EDF4681D3DAA8C43F13096D64218F5,37174,45413,2025-04-02T13:58:42Z
Sr. Lead Security Engineer – AI Engineer,JPMorganChase,"Glasgow City Centre, Glasgow","Description As a Sr. Lead Security Engineer at JPMorgan Chase within the Cybersecurity and Technology Controls line of business, you are an integral part of team that works to deliver Machine Learning solutions that satisfy pre-defined functional and user requirements with the added dimension of detection and prevention of misuse, circumvention, and malicious behavior. As a core technical contributor, you are responsible for carrying out critical technology solutions with tamper-proof, audit de…",https://www.adzuna.co.uk/jobs/details/5056355615?utm_medium=api&utm_source=9b195f40,57558.16,57558.16,2025-02-19T14:41:22Z
Machine Learning Engineer II,Hanley Wood Media Inc,"Hillhead, Glasgow City Centre","Machine Learning Engineer II | Full Time Remote, Scotland or Glasgow, UK At Zonda, we're not just envisioning the future of housing – we're crafting it We're not just following the trends; we're setting them With our sights set on a groundbreaking 2030 vision, we're not just playing the game: we're rewriting the rules Ready to bring your passion and expertise as a Machine Learning Engineer II to our dynamic team? At Zonda, we don't just seek employees; we seek trailblazers, dreamers, and innova…",https://www.adzuna.co.uk/jobs/details/5062035529?utm_medium=api&utm_source=9b195f40,43330.12,43330.12,2025-02-24T12:34:25Z
Software Engineer III - AI/ML,241387-Comp & Ben Admin Prof Fees,"Glasgow City Centre, Glasgow","Description You’re ready to gain the skills and experience needed to grow within your role and advance your career — and we have the perfect software engineering opportunity for you. As a Software Associate at JPMorgan Chase within Corporate Technology, you are part of an agile team that is dedicated to addressing complex business challenges using innovative AL/ML solutions to provide value across Risk, Compliance, Conduct, and Operational Risk. This role offers an opportunity to explore intric…",https://www.adzuna.co.uk/jobs/details/5069082781?utm_medium=api&utm_source=9b195f40,81727.5,81727.5,2025-03-01T16:50:11Z
AI Engineer,Cathcart Technology,"Glasgow, Scotland","AI Engineer - Glasgow AI Engineer urgently required by our client based in Glasgow, on a 6-month contract with a very high chance of extension. The Role: Their Glasgow development centre is home to circa 15 Engineers (and the team is constantly growing), working with cutting-edge technologies and continuing to push forward with new products and tech. They're building a new team of ML & AI Engineers. As a result, they're looking for an Engineer with AI & ML - who will be expected to add a lot of…",https://www.adzuna.co.uk/jobs/land/ad/5119913825?se=_tk3pr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=005B0244F9719C666E27438C317C93268B42CB10,130000,169000,2025-03-31T16:55:04Z
Lead Machine Learning Engineer,Be-IT Resourcing Ltd,"Glasgow, Scotland","Are you a seasoned Machine Learning Engineer ready to take the next step in your career by productionising GenAI and Recommender Systems at huge scale? Do you have a passion for machine learning and a keen interest in the transformative potential of generative AI? About the Role: You'll join a global online marketplace as a Lead Machine Learning Engineer in an ML Enablement team. In this role, you'll be at the forefront of productionising GenAI and Recommender Systems at scale. Your expertise w…",https://www.adzuna.co.uk/jobs/land/ad/5079901909?se=_tk3pr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=245FDB83F97C400EDA9C224DC06EB6C5A0151287,85000,95000,2025-03-06T20:21:00Z
"Technology, Data and Product - Glasgow - 2025 ReEntry Program",241387-Comp & Ben Admin Prof Fees,"Glasgow City Centre, Glasgow","Description At JPMorganChase, we recognize that rewarding careers do not always follow a conventional path. We value the diversity, fresh perspective and wealth of experience that returning professionals can bring. The ReEntry program offers experienced professionals, who are currently on an extended career break of at least two years, the support and resources needed to relaunch their careers. The program spans over 30 locations worldwide. The ReEntry Program is a 15-week fellowship program, b…",https://www.adzuna.co.uk/jobs/details/5098571436?utm_medium=api&utm_source=9b195f40,54921.18,54921.18,2025-03-18T10:31:18Z
