title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Data Scientist,Stantec,"Leeds, West Yorkshire","Do you have a passion for analytics and providing data led solutions? Are you an experienced data professional with knowledge of data cleansing, modelling and data analysis methods? We have a new opportunity for a Senior Data Scientist to join our highly successful digital teams. You will be working alongside an award-winning team of Analysts and Data Engineering experts, driving digital change across Stantec and our clients, with a particular focus on projects within the water sector. We're cu…",https://www.adzuna.co.uk/jobs/details/4955398934?utm_medium=api&utm_source=9b195f40,48063.54,48063.54,2024-11-29T10:05:53Z
Data Science Manager,Jet2.com and Jet2holidays,"Leeds, West Yorkshire","What you will be doing Reporting to the General Manager - Data Science, you'll oversee a number of Data Science teams, owning the delivery of high-quality solutions, while being able to remain hands on and get into the detail. As our Data Science Manager , you'll collaborate with senior business stakeholders and data teams, promote and help evolve our ways of working, and ensure our teams build out advanced and measurable analytics and machine learning solutions that realise demonstrable value …",https://www.adzuna.co.uk/jobs/details/5058830137?utm_medium=api&utm_source=9b195f40,49530.73,49530.73,2025-02-21T10:20:33Z
Data Science Trainee,IT Career Switch,"Leeds, West Yorkshire","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104518815?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:13:56Z
Data Science Trainee,ITOL Recruitment,"Leeds, West Yorkshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5122857514?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-01T21:17:19Z
Senior Data Scientist,Stantec UK,"Holbeck, Leeds","Do you have a passion for analytics and providing data led solutions? Are you an experienced data professional with knowledge of data cleansing, modelling and data analysis methods? We have a new opportunity for a Senior Data Scientist to join our highly successful digital teams. You will be working alongside an award-winning team of Analysts and Data Engineering experts, driving digital change across Stantec and our clients, with a particular focus on projects within the water sector. We're cu…",https://www.adzuna.co.uk/jobs/details/5107627520?utm_medium=api&utm_source=9b195f40,50043.13,50043.13,2025-03-23T11:52:34Z
Data Science Placement Programme,Career Change,"Hyde Park, Leeds","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978245280?se=LBi_qL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=BA560B39C1CFE3550A8FF3E539EFC1B934A18012,29261.87,29261.87,2024-12-14T18:36:21Z
Data Science & Analytics Specialist,Jet2.com,"Hyde Park, Leeds","As our new Data Science & Analytics Specialist you'll be at the forefront of data and insight-led change, collaborating with business and central data teams to democratise data and analytical capabilities through the Enablement workstream of our Data Strategy. As our Data Science & Analytics Specialist, you'll have access to a wide range of benefits including: Hybrid working (we're in the office 2 days per week) Colleague discounts on Jet2holidays and Jet(url removed) flights Annual pay reviews…",https://www.adzuna.co.uk/jobs/details/5099726244?utm_medium=api&utm_source=9b195f40,42378.61,42378.61,2025-03-18T20:45:58Z
Senior Data Scientist - Customer Profiling / EV Fleet Modelling,Attis Global,"Leeds, West Yorkshire","Job Description Senior Data Scientist required to join a well-known transport brand in Leeds who on the verge of an cutting edge rebrand and pivot to incorporate Electric Vehicle offerings into their current service - exciting times As well as a competitive salary of £60k-£70k per year, you will also get: Solid career growth opportunities (multiple examples of management who joined the company as a junior) Benefits package (pension, life assurance etc) Support from a diverse team of both tech a…",https://www.adzuna.co.uk/jobs/details/4802552211?utm_medium=api&utm_source=9b195f40,60000,70000,2024-07-31T15:07:15Z
Junior Data Consultant,Sparta Global Limited,"Leeds, West Yorkshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846315?se=LBi_qL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=9C2AF3AF1F3AB3E59D5358F904F020E6B96D876B,24000,24000,2025-04-01T17:45:18Z
Account Manager,Jaywing,"Leeds, West Yorkshire","About Us 25 years ago, we started as one of the UK’s first specialist data science businesses. Today we’re one of the leading integrated marketing agencies outside London. A genuine Northern success story (that now has an office in Sydney). And one that’s succeeded not by bolting data onto what we do, but by having it as our starting point. By plugging our creatives, strategists and media specialists into data-driven insight we help them get the most compelling ideas in front of the right audie…",https://www.adzuna.co.uk/jobs/land/ad/5124358687?se=LBi_qL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=11ED44010F77C8CB6CE9738399831FE139990031,36108.54,36108.54,2025-04-02T16:15:25Z
