title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Trainee,IT Career Switch,"Leicester, Leicestershire","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104588692?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:17:44Z
Data Science Trainee,ITOL Recruitment,"Leicester, Leicestershire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5124500252?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-02T17:30:05Z
Trainee Data Analyst,Alfred Rennox,"Leicester, Leicestershire","Start your data career with a market-leading organization As a Trainee Data Analyst, you'll develop expertise in data analysis, visualization, and decision-making, helping to drive business success. Key Responsibilities: Analyze datasets to identify trends and support strategic decisions. Develop insightful reports and dashboards. Collaborate with senior analysts on impactful projects. Work with cutting-edge data tools and technologies. Requirements: Bachelors degree in Data Science, Statistics…",https://www.adzuna.co.uk/jobs/details/5081790626?utm_medium=api&utm_source=9b195f40,30000,30000,2025-03-07T21:44:37Z
Trainee Data Analyst,Alfred Rennox,"Humberstone, Leicester","Our client, a prominent IT and tech industry leader, is seeking a detail-oriented and ambitious Trainee Data Analyst. If you're eager to develop hands-on data skills while working with industry experts, this is the perfect role for you. Role Overview You will support data collection, analysis, and reporting efforts to drive business decisions. Working alongside senior analysts, you will gain valuable experience in interpreting data and creating visual insights. Key Responsibilities  Assist in c…",https://www.adzuna.co.uk/jobs/land/ad/5097470253?se=poNesL8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=33059DC27954F7A6087339464598CF3F788C7609,27000,33000,2025-03-17T14:36:24Z
Financial Analyst,Dallas Holdings - Pret A Manger,"Belgrave, Leicester","RESPONSIBILITIES Support the Finance Manager in driving productivity & profitability across the US and UK business Assist timely and accurate Budgets and Forecasts for P&L (up to GP) Support monthly forecast process, and continuous Operations business partner collaboration Produce automated, timely and accurate weekly reporting including insight and analysis in trends, while monitoring key KPIs on stores performance Assist with financial modelling improvements on existing reporting, planning, a…",https://www.adzuna.co.uk/jobs/details/4878272591?utm_medium=api&utm_source=9b195f40,47361.45,47361.45,2024-09-26T22:39:40Z
Trainee Data Analyst,Elite Hiring Ltd T/A Elite Hiring Solution,"Leicester, Leicestershire","Our client is a leading IT solutions provider, dedicated to harnessing the power of data to drive innovation and operational efficiency. Known for their cutting-edge technology solutions and data-driven strategies, they are now seeking an enthusiastic Trainee Data Analyst to join their vibrant team. Job Description: As a Trainee Data Analyst, you will embark on a journey to understand the intricacies of data analysis within the tech industry. You will work closely with senior data analysts and …",https://www.adzuna.co.uk/jobs/details/5123698281?utm_medium=api&utm_source=9b195f40,30000,30000,2025-04-02T07:43:03Z
Data Analyst,IBM,"Leicester, Leicestershire","Introduction In this role, you’ll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You’…",https://www.adzuna.co.uk/jobs/details/5095962990?utm_medium=api&utm_source=9b195f40,65941.88,65941.88,2025-03-15T22:57:32Z
Data Analyst,IBM,"Leicester, Leicestershire","Introduction In this role, you'll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'…",https://www.adzuna.co.uk/jobs/details/5116417827?utm_medium=api&utm_source=9b195f40,65501.89,65501.89,2025-03-28T18:56:51Z
Associate Professor in Medical Statistics or Epidemiology,University of Leicester,"Evington, Leicester","Joining the Leicester Real World Evidence (LRWE) unit and the NIHR Leicester Biomedical Research Centre (BRC), you will provide senior academic leadership on studies investigating (cardiometabolic) multiple long term conditions and the comparative effectiveness of interventions using secondary, real-world observational data (Clinical Practice Research Datalink, Hospital Episodes Statistics) and primary data from classical observational studies (e.g. UK Biobank). You will develop and undertake i…",https://www.adzuna.co.uk/jobs/details/5082976889?utm_medium=api&utm_source=9b195f40,57696,64914,2025-03-08T17:12:35Z
Data Platform Engineer,Zimmer Biomet,"Leicester, Leicestershire","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418591?utm_medium=api&utm_source=9b195f40,50897.07,50897.07,2025-03-28T18:58:00Z
