title,company,location,description,redirect_url,salary_min,salary_max,created
Manufacturing Data Scientist,Randstad Inhouse Services,"Halewood, Liverpool","Drive the Future of Electric Vehicles Manufacturing Data Scientist - Ford Halewood Salary: £61,116.53 (inclusive of 35% holiday bonus for 33 days per year; 25 vacation and 8 bank holidays) Location: Halewood Transmission Plant Hours: Monday to Thursday 7:00-15:30 and Friday 7:00-12:30 Be a part of a groundbreaking transformation at Ford Halewood Transmissions, a global leader in electric vehicle technology We are seeking a passionate and skilled Data Scientist to join Ford's innovative team as …",https://www.adzuna.co.uk/jobs/land/ad/5119915096?se=tDCip78Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=9BB7FD64CFC1DE7E20491587DA1C2F086947AA3E,55000,61116,2025-03-31T16:56:08Z
Data Science Trainee,IT Career Switch,"Liverpool, Merseyside","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104526173?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:14:10Z
Data Science Trainee,ITOL Recruitment,"Liverpool, Merseyside","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5110871409?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-25T18:57:29Z
Computational Biology Data Scientist,"Computational Biology Facility , University of Liverpool","Liverpool, Merseyside","Are you eager to make a meaningful impact on patient lives while honing your data science expertise? Join our vibrant, cross-disciplinary team as a Computational Biology Data Scientist, driving cutting-edge research within two newly launched Cystic Fibrosis Innovation Hubs: PULSE-CF and CF-TrailFinder. You’ll collaborate with clinicians, experimental scientists, and fellow data experts to uncover novel insights into cystic fibrosis exacerbations by providing expertise analysing data from multi-…",https://www.adzuna.co.uk/jobs/details/5109417313?utm_medium=api&utm_source=9b195f40,40997.62,40997.62,2025-03-24T23:10:14Z
Junior Data Consultant,Sparta Global Limited,"Liverpool, Merseyside","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846313?se=tDCip78Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=B6331D698CE0B1C98876EC7796E2053D2A3B9F31,24000,24000,2025-04-01T17:45:18Z
Ecommerce Analyst,Harnham - Data & Analytics Recruitment,"Liverpool, Merseyside","Ecommerce Analyst - Up to £37,000 Liverpool - Hybrid (3 Days in Office) A growing ecommerce team is looking for a data-driven Ecommerce Analyst to provide real-time insights into trading performance, marketing campaigns, and customer behavior. This role offers great exposure to multiple business functions, working closely with trading, loyalty, and data science teams. THE COMPANY This well-established business is expanding its analytics capabilities within the ecommerce space. The team supports…",https://www.adzuna.co.uk/jobs/details/5079972521?utm_medium=api&utm_source=9b195f40,35000,37000,2025-03-06T23:00:48Z
Customer Analyst,Harnham - Data & Analytics Recruitment,"Liverpool, Merseyside","Customer Analyst Liverpool (Hybrid) £35,000-£40,000 THE COMPANY A leading fashion retailer is seeking a Customer Analyst to join their eCommerce Analytics team to help drive omni-channel journey optimisation THE ROLE As the Customer Analyst, you will use your SQL/bigQuery experience to work on a range of projects within the customer analytics space. You will be comfortable providing insight & recommendations back to both technical and non-technical stakeholders in the process, and have good sto…",https://www.adzuna.co.uk/jobs/details/5111243385?utm_medium=api&utm_source=9b195f40,35000,40000,2025-03-25T20:06:42Z
Data Engineer,e-Frontiers,"Stanley, Liverpool","Data Engineer 6-Month Contract London (Hybrid) Market Rate Join a global technology consultancy that helps financial organizations solve complex challenges through cutting-edge software development, AI, and cloud solutions. We are seeking experienced Data Engineers to contribute to an AI-driven initiative, leveraging Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) frameworks. Your Responsibilities: Develop and optimize data pipelines to support AI-driven solutions. Work wi…",https://www.adzuna.co.uk/jobs/details/5124819381?utm_medium=api&utm_source=9b195f40,130000,208000,2025-04-02T19:42:25Z
Manufacturing Engineer,Randstad Inhouse Services,"Halewood, Liverpool","Position Title: Manufacturing Engineer Salary: £40,245.53 - £62,953.73 (inclusive of 35% holiday bonus for 33 days per year; 25 vacation and 8 bank holidays) Location: Halewood Transmission Plant Hours: Monday to Thursday 7:00-15:30 and Friday 7:00-12:30 Job Introduction As part of the manufacturing engineering team, you'll play a crucial role in shaping the future of automotive technology. Your expertise will help develop, maintain, and improve cutting-edge manufacturing processes within the p…",https://www.adzuna.co.uk/jobs/land/ad/5101749551?se=tDCip78Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=A22394C8A89608CB075DF67CD0DFD88613DE28FF,40245,62953,2025-03-19T20:46:36Z
Data Platform Engineer,Zimmer Biomet,"Liverpool, Merseyside","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418586?utm_medium=api&utm_source=9b195f40,49031.98,49031.98,2025-03-28T18:58:00Z
