title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Data Scientist,Saga Group Limited,"North West London, London","Senior Data Scientist Salary from £60,000 to £70,000 depending on experience Permanent Hybrid / London Here at Saga, we are embarking on a data transformation journey across all our established business units, Cruise, Insurance, Travel, Financial Services and Saga Magazine. This is a unique opportunity to make a group level impact with an access to rich data across all business units. You will be joining a high performing in-house Data Science team that specifically focusses on Marketing domain…",https://www.adzuna.co.uk/jobs/land/ad/5114666472?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=795AB46E57FFFC8941DE4502060D675F4D281E8C,70000,70000,2025-03-27T23:54:28Z
Lead Data Scientist,Robert Walters,"South East London, London","Lead Data Scientist - Adtech Business I am recruiting for a Lead Data Scientist to drive innovation in machine learning and data-driven solutions, particularly within AdTech. This fully remote role is ideal for someone passionate about optimising algorithms, building scalable models, and solving complex business challenges for clients & customers. Key Responsibilities: Develop and deploy machine learning models to enhance advertising performance. Optimise real-time decision-making algorithms in…",https://www.adzuna.co.uk/jobs/land/ad/5085926833?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=FAC23B8E25F6AA7F01294C855E89EC757CDE80BB,100000,100000,2025-03-10T22:31:33Z
Data Scientist,SLR CONSULTING-1,"London, UK","Job Title Data Scientist Vacancy No VN4753 Employment Type Permanent Contract Type Full-Time Advert An excellent opportunity has arisen for a highly motivated data science professional with a genuine passion for machine learning, data analytics, and problem-solving to join our growing data science capability. The role, based from our Leeds, Manchester, London, or Newcastle offices, offers an opportunity to contribute to and help shape the development of our expanding data science function. This…",https://www.adzuna.co.uk/jobs/land/ad/5120618178?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=1FE898D1BE4A063B347156761BE0047C4F6C38BD,42162.09,42162.09,2025-04-01T02:25:27Z
Data Scientist,Heart Mind Talent,"London, UK","Heart Mind Talent is proud to partner with a fast-growing, mission-driven startup that is building the future of the energy grid. Their goal is to optimize renewable energy usage, reduce CO₂ emissions, and make electricity greener and more affordable for everyone. As the energy system evolves at an unprecedented pace, innovative software solutions are critical in the fight for a net-zero future. This company’s cutting-edge platform leverages machine learning to shift energy consumption to times…",https://www.adzuna.co.uk/jobs/land/ad/5124360502?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=F8DD5FFD9E625A5C24976810D7DBD9A28E7BFDAA,54298.1,54298.1,2025-04-02T16:15:39Z
Data Scientist,Understanding Recruitment,"London, UK","⚡Quant/Algorithmic Data Scientist | London | Decarbonize the grid I'm searching for a Data Scientist (Quant / Power Trader) to join a fast-growing Energy Tech startup that are building the critical infrastructure to accelerate our transition to net-zero and underpin a decarbonized energy system They are backed by top VCs & Angel Investors (previously invested in Meta, BeReal, Slack, and more) The team are hiring data scientists with a strong quantitative & algorithmic background to optimize ene…",https://www.adzuna.co.uk/jobs/land/ad/5124362992?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=C454A77E3FB1731FDE8C302DC03F573162DD67F5,50256.44,50256.44,2025-04-02T16:16:02Z
Data Scientist,Understanding Recruitment,"London, UK","⚡Data Scientist | London | Decarbonize the grid I'm searching for a Data Scientist to join a fast-growing Energy Tech startup that are building the critical infrastructure to accelerate our transition to net-zero and underpin a decarbonised energy system They are backed by top VCs & Angel Investors (previously invested in Meta, BeReal, Slack, and more) The team are hiring data scientists with a strong quantitative & algorithmic background to optimise energy usage in a net-zero electricity grid.…",https://www.adzuna.co.uk/jobs/land/ad/5124366957?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=AC465E43FD9CB9842610AFA9CBA7EF19D9FEC039,55549.07,55549.07,2025-04-02T16:16:35Z
Data Scientist,Understanding Recruitment,"London, UK","⚡ Data Scientist | London | Drive Grid Decarbonization  Join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more), this team is developing ML-driven solutions to optimize energy usage—predicting and balancing demand in real time to shift consumption to greener, cheaper power. Location: London (Hybrid, 2–3 days in-office) Seniority: Hiring from Junior - Se…",https://www.adzuna.co.uk/jobs/land/ad/5124371194?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=B26578D4EDFA6A53ED4178452E125333FFE65CF1,49856.21,49856.21,2025-04-02T16:17:40Z
Freelance Associate Instructor Data Science,Learning Tree,"London, UK","Freelance Associate Instructor Data Science Location : London Department: Data Analytics and AI Hours: Flexible - Part time, Monday - Friday Job Type: Part time Contract Type: Freelance At Learning Tree International we are proud to celebrate diversity and inclusion as a fundamental part of our mission. As an organisation, we believe in creating an environment where every individual has an equal opportunity to thrive, regardless of gender, background, or identity. In honour of International Wom…",https://www.adzuna.co.uk/jobs/land/ad/5085517701?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=459DA7FB43DB347C1BB9D5A062CB1600A65E2A5E,57644.36,57644.36,2025-03-10T18:32:26Z
Lead Data Scientist,Harnham,"London, UK","LEAD DATA SCIENTIST - Data Science/ML REMOTE - 1 day per month in Uxbridge Up to £100,000  car allowance  bonus COMPANY: We are working with a market leading Telecommunications company with an established Data Science and AI team to bring a Lead Data Scientist into the team. They already have a strong established DS/ML team but are looking to grow this. They are looking for a candidate with proven experience as both an individual contributor and a people manager. The role itself will be around …",https://www.adzuna.co.uk/jobs/land/ad/5124368287?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=3B6BDDEA84752D2D354461756237545D2C109FB2,85958.75,85958.75,2025-04-02T16:16:55Z
Principal Data Scientist,Harnham,"London, UK","Principal Data Scientist London - Hybrid (3 days a week) Up to £125,000  benefits This is a great opportunity for a Principal Data Scientist to join an exciting marketing consultancy - in an 80% hands-on, 20% technical leadership/management role. THE ROLE In this role you will: Drive machine learning projects across recommenders, segmentation, forecasting and optimising marketing spend Work on advanced projects across GenAI and NLP Work closely with an Engineering team, whilst remaining full st…",https://www.adzuna.co.uk/jobs/land/ad/5124359043?se=3I0ZnL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=ECC74E8256E7F9E0FAC00A3BF674F9E52FF425B2,63708.83,63708.83,2025-04-02T16:15:28Z
