title,company,location,description,redirect_url,salary_min,salary_max,created
Data Scientist - Manchester,Circle Group,"Manchester, Greater Manchester","Data Scientist - Manchester Data Scientist with experience of creating financial models, machine learning, SQL, Python and forecasting experience is required by a leading company in Manchester. As the Data Scientist, you will be responsible for defining & shaping of all financial modelling and forecasting to enhance decision making, deliver more targeted acquisition, and deliver profitable growth. Tools wise they are using SQL, Python & R, so you should ideally have strong experience in these a…",https://www.adzuna.co.uk/jobs/land/ad/5111401021?se=aoInor8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=B593735CEA2C00E9E7D8C0193B7FFDC8F1E0576C,70000,70000,2025-03-25T23:56:50Z
Senior Research Data Scientist,dunnhumby,"Manchester, Greater Manchester","dunnhumby is the global leader in Customer Data Science, empowering businesses everywhere to compete and thrive in the modern data-driven economy. We always put the Customer First. Our mission: to enable businesses to grow and reimagine themselves by becoming advocates and champions for their Customers. With deep heritage and expertise in retail - one of the world's most competitive markets, with a deluge of multi-dimensional data - dunnhumby today enables businesses all over the world, across …",https://www.adzuna.co.uk/jobs/land/ad/5059687802?se=aoInor8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=FD1558E93152D7F030720AE5120291EF4C7C899B,48307.6,48307.6,2025-02-21T21:04:11Z
Data Scientist,Keller Executive Search,"Manchester, Greater Manchester","Keller Executive Search is currently looking for a talented Data Scientist to join their dynamic team. In this role, you will harness the power of data to derive insights and support key business decisions across a range of strategic initiatives. You will be responsible for utilizing advanced statistical methods, machine learning algorithms, and data visualization techniques to tackle complex data challenges. Your work will involve working with large datasets, conducting analyses, and presentin…",https://www.adzuna.co.uk/jobs/details/5124562175?utm_medium=api&utm_source=9b195f40,108000,156000,2025-04-02T18:22:44Z
Data Scientist,Roku,"Manchester, Greater Manchester","About the role Roku is looking for a Data Scientist to join the Core Analytics team supporting Roku Merchandising. In this role, you will leverage data analytics to support the merchandising team to understand the business impact of placing promotional content in the Roku UI. This individual will be responsible for A/B testing, trend analysis, and dashboards and reporting of how promotional content is surfaced. The successful candidate is quantitatively driven, detail-focused, and possesses an …",https://www.adzuna.co.uk/jobs/details/5052501315?utm_medium=api&utm_source=9b195f40,33805.19,33805.19,2025-02-16T14:59:32Z
Junior Data Scientist,CMSPI,"Manchester, Greater Manchester","JOB ROLE: Junior Data Scientist LOCATION: Manchester Office - Hybrid working model, with at least 2 in-office days per week. REPORTING TO: VP of Data Please note CMSPI does not hold a U.K. Sponsor Licence and is therefore unable to sponsor anyone without residency or settled status. The world of payments is going through the most thrilling transformation imaginable. Volumes are growing, payment options are expanding, and complexity is intensifying. Retailers are at the epicentre of these change…",https://www.adzuna.co.uk/jobs/details/5036479795?utm_medium=api&utm_source=9b195f40,40000,50000,2025-02-04T13:19:19Z
Senior Data Scientist,Office of Communications,"Manchester, Greater Manchester","Closing Date: 04/04/2025 Group: Corporate Group Management Level: Senior Associate Job Type: Permanent Job Description: Please note that this role will close at 00:01 on Friday 4 April, and therefore we advise getting your application in no later than midnight on Thursday 3 April. We have three positions available for this role. As the UK’s communications regulator, we’re delivering vital work that helps keep the UK connected and shapes the future of how we’ll stay connected with each other. Ou…",https://www.adzuna.co.uk/jobs/details/5119753881?utm_medium=api&utm_source=9b195f40,47529.41,47529.41,2025-03-31T12:23:57Z
Principal Data Scientist,BBC,"Trafford Park, Manchester","Data & Analytics Permanent - Full Time Salford, GB, M50 2QH Newcastle-upon-Tyne, GB, NE991RN London, GB, W1A 1AA Glasgow, GB, G511DA Cardiff, GB, CF10 1FT BBC PUBLIC SERVICE B'CAST Job Closing Date: 07/04/2025 THE ROLE Package Description Job Reference: 22234 Band: D Salary: £69,000-£79,000 depending on relevant skills, knowledge and experience. The expected salary range for this role reflects internal benchmarking and external market insights. Contract type: Permanent Location: London, Glasgow…",https://www.adzuna.co.uk/jobs/details/5118831344?utm_medium=api&utm_source=9b195f40,69000,79000,2025-03-30T18:21:17Z
Senior Data Scientist,Stantec,"Manchester, Greater Manchester","Do you have a passion for analytics and providing data led solutions? Are you an experienced data professional with knowledge of data cleansing, modelling and data analysis methods? We have a new opportunity for a Senior Data Scientist to join our highly successful digital teams. You will be working alongside an award-winning team of Analysts and Data Engineering experts, driving digital change across Stantec and our clients, with a particular focus on projects within the water sector. We're cu…",https://www.adzuna.co.uk/jobs/details/5105041065?utm_medium=api&utm_source=9b195f40,48302.02,48302.02,2025-03-21T18:35:12Z
Senior Data Scientist,Auto Trader,"Manchester, Greater Manchester","About Auto Trader&nbsp; Youâve probably heard of Auto Trader, but do you know what weâre all about?&nbsp; &nbsp; Weâre the UKâs leading automotive marketplace, a heritage brand, and a tech darling of the stock market. We bring together vehicle buyers and sellers to give them real choices. Cars may be what we're&nbsp;best known for but weâre also the place for pretty much everything else on wheels, from e-bikes to caravans. &nbsp; In the automotive world, change is a constant, thatâs…",https://www.adzuna.co.uk/jobs/details/4987869510?utm_medium=api&utm_source=9b195f40,50000,70000,2024-12-24T08:11:53Z
Data Science Trainee,IT Career Switch,"Manchester, Greater Manchester","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104560977?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:15:44Z
