title,company,location,description,redirect_url,salary_min,salary_max,created
Data Scientist - French speaking,Client Server,"Newcastle Upon Tyne, Tyne & Wear","Data Scientist Consultant Newcastle / WFH to £70k Do you have data science and data analytics experience combined with excellent communication and client facing skills? You could be progressing your career at a top tier management consultancy who are expanding their presence in the North East. As a Data Scientist / Consultant you'll focus on one project at a time, liaising closely with clients (mainly within finance / banking / big retailers). You'll manage data projects end-to-end, gathering c…",https://www.adzuna.co.uk/jobs/land/ad/5124371799?se=IkwerL8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=6E532E3D2F051844F642B7B9167B9CCCB9507746,48955.27,48955.27,2025-04-02T16:17:47Z
Principal Data Science Consultant - Financial Services Expertise,EPAM Systems,"Newcastle Upon Tyne, Tyne & Wear","As one of the worlds leading digital transformation service providers, we are looking to enhance our Data Practice across Europe to meet the increasing client demand for our Data Science and AI services. We are seeking a highly skilled and experienced Data Science Consultant to join our team. The ideal candidate will have a strong background in data science, analytics, IT consulting, and domain expertise in financial services. As a Data Science Consultant, you will work closely with clients to …",https://www.adzuna.co.uk/jobs/land/ad/5048393839?se=IkwerL8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=FA139F97BC75B64006F218B2ECA110E86DCF7A46,87282.85,87282.85,2025-02-13T15:20:39Z
Data Science Trainee,IT Career Switch,"Newcastle Upon Tyne, Tyne & Wear","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104476008?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:12:10Z
Data Science Trainee,ITonlinelearning Recruitment,"Newcastle Upon Tyne, Tyne & Wear","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5087459315?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-11T17:24:05Z
Senior Data Scientist,Sage,"Newcastle Upon Tyne, Tyne & Wear","Job Title Senior Data Scientist Job Description We are seeking a highly motivated and analytical Senior Data Scientist to join our growing team. You will be joining a growing team which is engaged in a variety of exciting new projects which are crucial for the continued success of Sage. As a Senior Data Scientist, you will have the opportunity to take a leading role in driving best practices, decision-making and mentorship within the team - engaging in both hands-on technical implementation of …",https://www.adzuna.co.uk/jobs/details/5059033537?utm_medium=api&utm_source=9b195f40,42121.02,42121.02,2025-02-21T12:59:52Z
Data Science Placement Programme,Career Change,"Newcastle Upon Tyne, Tyne & Wear","Data Scientist Placement Programme - No Experience Required Our training will help you kick-start a new career as a Data Scientist. We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are working full time, part-ti…",https://www.adzuna.co.uk/jobs/land/ad/4978243378?se=IkwerL8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=2706E29EA821255FCE18BFD9E6FD59A93FE8CB16,28774.27,28774.27,2024-12-14T18:34:46Z
"Senior Data Scientist (£42,848 - £57,400)",Driver and Vehicle Standards Agency,"Newcastle Upon Tyne, Tyne & Wear","Details Reference number 395301 Salary £42,848 Plus an additional allowance up to £14,552. A Civil Service Pension with an employer contribution of 28.97% GBP Job grade Senior Executive Officer Contract type Permanent Business area Policy, Digital and Data Type of role Digital Working pattern Flexible working, Full-time, Job share, Part-time Number of jobs available 1 Contents Location About the job Benefits Things you need to know Apply and further information Location Bristol, Newcastle-upon-…",https://www.adzuna.co.uk/jobs/details/5107899193?utm_medium=api&utm_source=9b195f40,43380.15,43380.15,2025-03-23T17:11:49Z
Principal Data Science Consultant – Gen AI Specialist,EPAM Systems,"Newcastle Upon Tyne, Tyne & Wear","As a leader in digital transformation, we are expanding our Data Practice across Europe to meet the growing demand for cutting-edge Generative AI (Gen AI) and advanced data solutions. We are seeking an experienced Data Science Consultant with a strong focus on Gen AI applications , particularly within the Consumer Packaged Goods and Retail (CPGR) industry. In this role, you will leverage your expertise in AI to design, deploy and optimize Gen AI solutions tailored to the challenges and opportun…",https://www.adzuna.co.uk/jobs/details/5043016341?utm_medium=api&utm_source=9b195f40,71671.59,71671.59,2025-02-08T17:20:46Z
Data Analytics and Science Hub (DASH) - Capability Lead,"Department for Environment, Food and Rural Affairs","Newcastle Upon Tyne, Tyne & Wear","Details Reference number 392151 Salary £41,220 - £49,020 National £41,220-£45,400 London £44,500-£49,020 For details of our pay on appointment policy, please see below under the heading ‘Salary’. A Civil Service Pension with an employer contribution of 28.97% GBP Job grade Senior Executive Officer Contract type Permanent Business area Core DEFRA Type of role Analytical Working pattern Flexible working, Full-time, Job share, Part-time Number of jobs available 1 Contents Location About the job Be…",https://www.adzuna.co.uk/jobs/details/5118831332?utm_medium=api&utm_source=9b195f40,45831.68,45831.68,2025-03-30T18:21:15Z
Data Analytics and Science Hub (DASH) - Innovation Lead,"Department for Environment, Food and Rural Affairs","Newcastle Upon Tyne, Tyne & Wear","Details Reference number 393282 Salary £41,220 - £49,020 National £41,220-£45,400 London £44,500-£49,020 For details of our pay on appointment policy, please see below under the heading ‘Salary’. A Civil Service Pension with an employer contribution of 28.97% GBP Job grade Senior Executive Officer Contract type Permanent Business area Core DEFRA Type of role Analytical Working pattern Flexible working, Full-time, Job share, Part-time Number of jobs available 1 Contents Location About the job Be…",https://www.adzuna.co.uk/jobs/details/5118831345?utm_medium=api&utm_source=9b195f40,47755.32,47755.32,2025-03-30T18:21:17Z
