title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Trainee,IT Career Switch,"Nottingham, Nottinghamshire","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104584059?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:17:17Z
Data Science Trainee,ITOL Recruitment,"Nottingham, Nottinghamshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5124499322?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-02T17:28:44Z
Junior Data Consultant,Sparta Global Limited,"Nottingham, Nottinghamshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846295?se=ZE4nr78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=80C38BBBBC2BA7AE4567DB6339E4EB58F8F0301C,24000,24000,2025-04-01T17:45:17Z
Laboratory Technician,Engineering Employment,"Nottingham, Nottinghamshire","Laboratory Technician, fluid analysis, data science, Power BI, HPLC, chemical, data visualisationWe are looking for a Laboratory Technician with expertise in fluid analysis and a passion for data science. This role combines hands-on laboratory work with advanced data analysis and visualisation using Power BI. You will be working with ICP-AES, HPLC, and other analytical techniques to assess the composition of fluids such as oil, grease, and coolant while ensuring compliance with Good Laboratory …",https://www.adzuna.co.uk/jobs/details/5089010138?utm_medium=api&utm_source=9b195f40,24000,30000,2025-03-12T15:55:14Z
Data Analyst,Adria Solutions Ltd,"Bestwood Village, Nottingham","Data Analyst – Fully Remote – Financial & Technology Sectors My client is looking for a Data Analyst to join their team and support data-driven decision-making across Technology, Finance, Operations, and Product. This role is perfect for a self-motivated, analytical thinker who enjoys solving business challenges with data. Key Responsibilities: Reporting & Data Automation Develop and maintain automated reports and dashboards to support business functions Ensure accuracy and consistency in data …",https://www.adzuna.co.uk/jobs/land/ad/5099715689?se=ZE4nr78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=3979850B65627FFB09F848B6FDF175EE972E0479,35000,50000,2025-03-18T20:40:10Z
Data Analyst,Adria Solutions,"Nottingham, Nottinghamshire","Data Analyst – Fully Remote – Financial & Technology Sectors My client is looking for a Data Analyst to join their team and support data-driven decision-making across Technology, Finance, Operations, and Product. This role is perfect for a self-motivated, analytical thinker who enjoys solving business challenges with data. Key Responsibilities: Reporting & Data Automation Develop and maintain automated reports and dashboards to support business functions Ensure accuracy and consistency in data …",https://www.adzuna.co.uk/jobs/details/5099615539?utm_medium=api&utm_source=9b195f40,35000,50000,2025-03-18T20:11:08Z
Lead Enterprise Architect,Leidos,"Nottingham, Nottinghamshire","We are seeking a Lead Enterprise Architect to play a pivotal role in a large Supply Chain ERP transformation, particularly leveraging Oracle Fusion. This is a SFIA Level 7 role, requiring leadership, strategic vision, and technical expertise to shape enterprise architecture and drive digital transformation. THE ROLE YOU WILL PLAY As the Lead Enterprise Architect, you will be responsible for defining and maintaining the enterprise architecture framework, ensuring alignment with business strategy…",https://www.adzuna.co.uk/jobs/land/ad/5101134934?se=ZE4nr78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=D99EE0AE3329B54822862FFB7C9A801264FAB08F,90808.98,90808.98,2025-03-19T13:33:11Z
Early Career Researcher,Nottingham Trent University,"Nottingham, Nottinghamshire","Build a Rewarding Career. Doing things differently. Early Career Researcher: Data Science / Data Analytics 24,404 - 26,062 p.a. pro rata Part time/Fixed term - 18.5 hours per week/12 month contract Role Overview As a Early Career Researcher, you will work alongside our research team to develop data tools, create interactive dashboards, and contribute to research projects. This will provide you with the opportunity to apply your academic knowledge to real-world challenges, enhancing your skills …",https://www.adzuna.co.uk/jobs/details/5126454662?utm_medium=api&utm_source=9b195f40,35841.04,35841.04,2025-04-03T15:53:11Z
Data Architect,Leidos,"Sneinton, Nottingham","Description Data Architect Everything we do is built on a commitment to do the right thing for our customers, our people and our community. Our mission and our values guide the way we do business. The foundation of our Leidos culture is our Values, Beliefs and Expectations by which we select, recognise and reward employees. They create the environment that drives us toward our mission. Inspired to make a difference, we are committed to solving the world’s toughest problems. What is the role and…",https://www.adzuna.co.uk/jobs/land/ad/5081278455?se=ZE4nr78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=7E68A5083182E63E11C6E046A72AAF5DE2BE678A,41448.69,41448.69,2025-03-07T17:05:21Z
Lead Enterprise Architect,Leidos,"Sneinton, Nottingham","Description Lead Enterprise Architect Join our UK Team who are committed to a Mission We are seeking a Lead Enterprise Architect to play a pivotal role in a large Supply Chain ERP transformation, particularly leveraging Oracle Fusion. This is a SFIA Level 7 role, requiring leadership, strategic vision, and technical expertise to shape enterprise architecture and drive digital transformation. THE ROLE YOU WILL PLAY As the Lead Enterprise Architect , you will be responsible for defining and maint…",https://www.adzuna.co.uk/jobs/land/ad/5088303670?se=ZE4nr78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=CD572CE713034BE3B3CF1DED2CCAB40FBBF73FB3,77590.12,77590.12,2025-03-12T09:04:33Z
