title,company,location,description,redirect_url,salary_min,salary_max,created
Data Science Trainee,IT Career Switch,"Sheffield, South Yorkshire","Trainee Data Scientist - No Experience Required Are you looking to kick-start a new career as a Data Scientist?We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee (£25K-£45K) within 20 miles of your location upon completion. Whether you are working full time, part-time or une…",https://www.adzuna.co.uk/jobs/details/5104536650?utm_medium=api&utm_source=9b195f40,25000,45000,2025-03-21T12:14:31Z
Junior Data Consultant,Sparta Global Limited,"Sheffield, South Yorkshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846318?se=IN8crr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=BC3B3FD4A1F31867AA9698B4400499197D87FCC6,24000,24000,2025-04-01T17:45:18Z
Trainee Data Analyst,Alfred Rennox,"Heeley, Sheffield","Our client, a prominent IT and tech industry leader, is seeking a detail-oriented and ambitious Trainee Data Analyst. If you're eager to develop hands-on data skills while working with industry experts, this is the perfect role for you. Role Overview You will support data collection, analysis, and reporting efforts to drive business decisions. Working alongside senior analysts, you will gain valuable experience in interpreting data and creating visual insights. Key Responsibilities  Assist in c…",https://www.adzuna.co.uk/jobs/land/ad/5097470321?se=IN8crr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=8701843997A615E457C3623ABAEFC798C3FD1235,27000,33000,2025-03-17T14:36:26Z
Data Platform Engineer,Zimmer Biomet,"Sheffield, South Yorkshire","At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",https://www.adzuna.co.uk/jobs/details/5116418592?utm_medium=api&utm_source=9b195f40,48765.43,48765.43,2025-03-28T18:58:00Z
Web Developer Trainee,ITOL Recruitment,"Sheffield, South Yorkshire","Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which …",https://www.adzuna.co.uk/jobs/details/5113834113?utm_medium=api&utm_source=9b195f40,25000,35000,2025-03-27T16:03:30Z
Trainee Software Developer,ITOL Recruitment,"Sheffield, South Yorkshire","Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, w…",https://www.adzuna.co.uk/jobs/details/5108909912?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-24T16:22:08Z
Coding and Programming Trainee,ITOL Recruitment,"Sheffield, South Yorkshire","Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tut…",https://www.adzuna.co.uk/jobs/details/5092175256?utm_medium=api&utm_source=9b195f40,26000,35000,2025-03-13T21:47:55Z
Reporting Analyst (Critical Engineering),Bellrock Property and Facilities Management,"Sheffield, South Yorkshire","Reporting Analyst The Reporting Analyst will play a crucial role in transforming data into actionable insights, ensuring that our operations are driven by factual analysis and informed decision-making processes. This position requires a blend of analytical skills and critical thinking, along with proficiency in data visualisation tools and reporting software. The job holder will be responsible for gathering, analysing, and interpreting complex data sets related to our critical engineering opera…",https://www.adzuna.co.uk/jobs/details/5077266875?utm_medium=api&utm_source=9b195f40,36000,36000,2025-03-05T14:32:43Z
Head of Sales,Wallace Hind Selection LTD,"Heeley, Sheffield","As Head of Sales, you're a commercially astute business professional, someone who account manages, networks, and grows relationships. Based in the Northwest, but travelling throughout the UK, you'll be well versed in partnering with / selling technical components / solutions to OEMs. BASIC SALARY: £55,000 - £65,000 BENEFITS: · up to £10,000 Bonus · £6,000 Car Allowance · Pension · Private Healthcare · 25 days holiday (increases one day per years' service up to 30 days) LOCATION: Warrington This…",https://www.adzuna.co.uk/jobs/land/ad/5101751975?se=IN8crr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=F21FA049512C38581BC0ACD02F4CF26CD5CDF868,55000,65000,2025-03-19T20:52:47Z
Head of Sales,Wallace Hind Selection,"Sheffield, South Yorkshire","As Head of Sales, you're a commercially astute business professional, someone who account manages, networks, and grows relationships. Based in the Northwest, but travelling throughout the UK, you'll be well versed in partnering with / selling technical components / solutions to OEMs. BASIC SALARY: £55,000 - £65,000 BENEFITS: · up to £10,000 Bonus · £6,000 Car Allowance · Pension · Private Healthcare · 25 days holiday (increases one day per years' service up to 30 days) LOCATION: Warrington This…",https://www.adzuna.co.uk/jobs/details/5101322641?utm_medium=api&utm_source=9b195f40,55000,65000,2025-03-19T16:06:59Z
