title,company,location,description,redirect_url,salary_min,salary_max,created
Data & Analytics Analyst,Motability Operations,"Bristol, South West England","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. We're looking for a data enthusiast, able to turn data into insights so they flow consistently across MO and shape our thinking to drive a culture of customer focused, evidence-based decision making. You have the important …",https://www.adzuna.co.uk/jobs/land/ad/5126033499?se=7o0oj78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=B6F89E930D7832B0E98DE575BD288D4EAB549FFD,47458.12,47458.12,2025-04-03T09:16:37Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"St. Augustines, Bristol","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439884?utm_medium=api&utm_source=9b195f40,34817.3,34817.3,2025-03-21T12:02:37Z
Data Analyst Trainee,ITOL Recruitment,"Bristol, South West England","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5108912266?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-24T16:28:40Z
Data Analyst Programmer,VM2R Services,"Bristol, South West England","Data Analyst Programmer Bristol, united kingdom, United Kingdom Data Analyst Programmer The role will be based in Bristol & London however as a result of the wide variety of clients and projects, you may be asked to work in other locations and beyond, sometimes at short notice and sometimes over lengthy periods of time. Your desire and ability to do this will be discussed as part of the recruitment process. Candidates who are unable or do not wish to work on projects in other locations will sti…",https://www.adzuna.co.uk/jobs/details/4802557744?utm_medium=api&utm_source=9b195f40,41804.11,41804.11,2024-07-31T15:07:44Z
Data Analyst Drive,SafeLives,"Bristol, South West England","Reports to Senior Data Analyst/ Data Team Manager/ Head of REA Hours Full Time (37.5 hours per week) (1.0 FTE) Salary £30,321.20 per annum (Band D) Contract Fixed term contract until June 2027 [with the possibility of extension] Location Bristol based with some travel across the UK. Benefit A generous package including 25 days holiday a year and public holidays, employee pension scheme with up to 4% employer contribution, childcare voucher scheme, Cycle2Work scheme, Flexible Working About SafeL…",https://www.adzuna.co.uk/jobs/details/5085444315?utm_medium=api&utm_source=9b195f40,35855.33,35855.33,2025-03-10T17:36:49Z
Data Analyst Placement Programme,ITonlinelearning,"Bristol, South West England","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943031685?utm_medium=api&utm_source=9b195f40,36276.66,36276.66,2024-11-18T17:52:31Z
People Data Analyst/Advisor,Frazer Jones,"Bristol, South West England","Great opportunity with a leading Bristol brand as a People Data Analyst/Advisor working within a large People team. Working closely with HR colleagues the role plays a crucial part supporting key decision making, contributing to the People agenda and strategy across a wide range of activities. With responsibility for collecting and analysing employee data these activities will include: performance, engagement, workforce trends, employee wellbeing and retention amongst others. A bi-product of th…",https://www.adzuna.co.uk/jobs/details/5059368920?utm_medium=api&utm_source=9b195f40,35000,35000,2025-02-21T17:28:45Z
Data & Analytics Lead Analyst,Motability Operations,"Bristol, South West England","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. In this role you will combine hands-on development in cloud based technologies, alongside direct management of a team of multi-skilled data analysts and data scientists delivering key data solutions. Your creative approach …",https://www.adzuna.co.uk/jobs/land/ad/5123364210?se=7o0oj78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=7FCF843ED636C957BFF0F33C3BED5773F0587FAD,48907.48,48907.48,2025-04-02T05:19:11Z
Senior Business Data Analyst,Health Research Authority,"Temple Meads, Bristol","Job summary The business data analyst is part of a highly successful team working within the HRA digital directorate, responsible for developing, delivering, and supporting complex solutions within the HRA's portfolio of national information systems for health research. This includes the Research Systems programme, a major programme to build a new integrated research application and workflow system and to achieve the successful migration and eventual closure of current systems (IRAS and HARP). …",https://www.adzuna.co.uk/jobs/details/5120292694?utm_medium=api&utm_source=9b195f40,46148,52809,2025-03-31T19:06:53Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Kingswood, Bristol","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439836?utm_medium=api&utm_source=9b195f40,31743.83,31743.83,2025-03-21T12:02:36Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"St. Augustines, Bristol","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439542?utm_medium=api&utm_source=9b195f40,34887.76,34887.76,2025-03-21T12:02:32Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Kingswood, Bristol","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439861?utm_medium=api&utm_source=9b195f40,31807.96,31807.96,2025-03-21T12:02:37Z
Project Information Management (PIM) Data Analyst,Nisbets,"Avonmouth, Bristol","We are seeking a Project Information Management (PIM) Data Analyst to join our dynamic eCommerce team. In this role, you will work directly with both own brand and third-party product data to ensure customer clarity and consistency. You will act as the enabler between product data and master data, play a key role in onboarding new lines, support colleagues in system usage, and proactively find faults with data and feed into system processes. The role will have hybrid working, consisting of 3 da…",https://www.adzuna.co.uk/jobs/details/5112080589?utm_medium=api&utm_source=9b195f40,33280.58,33280.58,2025-03-26T11:35:06Z
