title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,IntaPeople,"Cardiff, Cardiff County",IntaPeople are proud to be supporting a Welsh based organisation with the recruitment of a newly created Data Analyst role. You’ll be heavily involved with the organisation’s Data Team and play a huge role in providing quality and reliable data to feed into their analytics services used widely by the business. We are looking for a talented individual to join their team as they continue their data analytics journey within this fast-growing technology department. There will be strong opportunitie…,https://www.adzuna.co.uk/jobs/land/ad/5120539141?se=LN-ZhL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=B36401C1A5B2C984A640AB7E4B7A3732C315E210,30000,40000,2025-04-01T00:57:29Z
Data Analyst,IntaPeople,"Cardiff, Cardiff County","Data Analyst – Drive Insights & Business Growth Cardiff £40-50k Hybrid role We’re hiring an experienced Data Analyst to join a growing business. In this role, you’ll work with senior leadership to turn data into actionable insights that drive strategic decisions and boost business performance. The Role: Data Analysis & Reporting: Collect, analyse, and interpret business data to identify trends, optimise performance, and support growth. KPI Tracking & Insights: Develop dashboards and reporting s…",https://www.adzuna.co.uk/jobs/land/ad/5105414484?se=LN-ZhL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=AD877297B9B4EF014455CC505307DAB35B9ED868,40000,50000,2025-03-21T22:55:15Z
Data Analyst,Page 1 Recruitment,"Grangetown, Cardiff","Data Analyst Cardiff £40,000 – £50,000 Imagine being part of something that’s truly making a difference. Our client, a pioneering comparison platform for everything related to house buying and moving, is on a mission to revolutionise the way people experience one of the most significant moments of their lives. Data is at the heart of this transformation—powering insights, improving decision-making, and driving strategic growth. As a Data Analyst, you won’t just be crunching numbers—you’ll be un…",https://www.adzuna.co.uk/jobs/land/ad/5087518363?se=LN-ZhL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=C8E2E9263B0D280C6D678565394FE1317A1F6C8E,40000,50000,2025-03-11T18:42:21Z
Data Analyst,Advania UK,"Cardiff, Cardiff County","About Us We are the tech company with people at heart. At Advania, we believe in empowering people to create sustainable value through the clever use of technology. As one of Microsoft's leading partners in the UK, specialising in Azure, Security, Dynamics 365, and Microsoft 365, we have a proven track record of success in delivering transformational IT services. Position Overview As a Data Analyst, you will play a pivotal role in the operational running of the Service Management Office (SMO) b…",https://www.adzuna.co.uk/jobs/details/5114644523?utm_medium=api&utm_source=9b195f40,30000,35000,2025-03-27T23:17:53Z
Data Analyst,Page 1 Recruitment,"Cardiff, Cardiff County","DataAnalyst Cardiff £40,000£50,000 Imaginebeingpartofsomethingthatstrulymakingadifference.Ourclient,apioneeringcomparisonplatformforeverythingrelatedtohousebuyingandmoving,isonamissiontorevolutionisethewaypeopleexperienceoneofthemostsignificantmomentsoftheirlives.Dataisattheheartofthistransformationpoweringinsights,improvingdecision-making,anddrivingstrategicgrowth. AsaDataAnalyst,youwontjustbecrunchingnumbersyoullbeuncoveringtrends,identifyingopportunities,andshapingthefutureoftheindustry.Your…",https://www.adzuna.co.uk/jobs/details/5087344192?utm_medium=api&utm_source=9b195f40,50000,50000,2025-03-11T15:48:13Z
Senior Data Analyst,Pobl Group,"Cardiff, Cardiff County","Senior Data Analyst – Help Shape the Future with Data. Are you passionate about transforming data into meaningful insights? Do you want to work in a supportive, flexible, and inclusive environment? If so, this could be the perfect role for you What is great about the role? Make an Impact – Your work will directly influence decision-making across the organisation, driving efficiency, customer satisfaction, and strategic growth. Collaborate & Lead – You'll not only work with diverse teams but als…",https://www.adzuna.co.uk/jobs/details/5118025553?utm_medium=api&utm_source=9b195f40,37087.82,37087.82,2025-03-29T17:24:23Z
Trainee Data Analyst,Alfred Rennox,"Cardiff, Cardiff County","Start your data career with a market-leading organization As a Trainee Data Analyst, you'll develop expertise in data analysis, visualization, and decision-making, helping to drive business success. Key Responsibilities: Analyze datasets to identify trends and support strategic decisions. Develop insightful reports and dashboards. Collaborate with senior analysts on impactful projects. Work with cutting-edge data tools and technologies. Requirements: Bachelors degree in Data Science, Statistics…",https://www.adzuna.co.uk/jobs/details/5098038358?utm_medium=api&utm_source=9b195f40,30000,30000,2025-03-18T01:28:05Z
Data Analyst Placement Programme,ITonlinelearning,"Grangetown, Cardiff","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943037691?utm_medium=api&utm_source=9b195f40,36287.94,36287.94,2024-11-18T17:56:06Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Blackweir, Cardiff","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439871?utm_medium=api&utm_source=9b195f40,32825.1,32825.1,2025-03-21T12:02:37Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Blackweir, Cardiff","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439493?utm_medium=api&utm_source=9b195f40,32891.41,32891.41,2025-03-21T12:02:32Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Gabalfa, Cardiff","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013048?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
Entry-Level Data Analyst Training Program (Hiring Immediately),ITonlinelearning Recruitment,"Blackweir, Cardiff","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630193?utm_medium=api&utm_source=9b195f40,33245.02,33245.02,2025-04-01T02:38:42Z
Data Analyst Placement Programme - Comprehensive Online Training with Expert Support (Hiring Immediately),ITonlinelearning Recruitment,"Blackweir, Cardiff","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630194?utm_medium=api&utm_source=9b195f40,34312.79,34312.79,2025-04-01T02:38:42Z
Analytical Skills Development Scheme (Hiring Immediately),ITonlinelearning Recruitment,"Blackweir, Cardiff","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630180?utm_medium=api&utm_source=9b195f40,33309.92,33309.92,2025-04-01T02:38:41Z
Junior Data Consultant,Sparta Global Limited,"Cardiff, Cardiff County","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/details/5122019314?utm_medium=api&utm_source=9b195f40,25000,25000,2025-04-01T18:39:23Z
Junior Power Platform Consultant,iCoTech Services,"Grangetown, Cardiff","The Junior Power Platform Consultant role at iCoTech is a key role within the organisation reporting to the Practice Manager. In your role, you will act as 1st Line Support for existing applications deployed across many sectors. You will use the experience of your peers to understand the best route forward ensuring all issues are resolved within a timely manner and of high quality. Alongside support, you will own ‘iteration’ requests (change requests) and document high level functional requirem…",https://www.adzuna.co.uk/jobs/details/4870531257?utm_medium=api&utm_source=9b195f40,35000,45000,2024-09-20T13:24:11Z
Data and Systems Manager,Control Risks,"Cardiff, Cardiff County",We are looking for an experienced and highly skilled Data & Systems Manager to join our Finance Service Centre based in Cardiff. The role will have a Group wide remit and will be responsible for optimisation of our D365 Finance & Operations (D365 F&O) system. The focus of the role is to: Enhance system performance Make the most of present and future capabilities Implement automated solutions Standardise global processes and controls The objectives are based on business processes and aim to: Red…,https://www.adzuna.co.uk/jobs/details/5098872183?utm_medium=api&utm_source=9b195f40,68037.3,68037.3,2025-03-18T12:50:52Z
Head of Performance,Digital Health and Care Wales,"Blackweir, Cardiff","Job summary The Head of Performance will be responsible for leading Digital Health and Care Wales's performance management framework to support the delivery of the organisational strategy and transformation programme to enable a successful transition to a product and service delivery operating model. The post holder will be responsible for ensuring the organisation measures, monitors and manages performance against agreed strategic objectives, targets and standards (national and local) by provi…",https://www.adzuna.co.uk/jobs/details/5069235954?utm_medium=api&utm_source=9b195f40,75405,86885,2025-03-01T18:24:49Z
