title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,Harnham - Data & Analytics Recruitment,"Coventry, West Midlands","DATA ANALYST £45,000-£55,000  BENEFITS LEICESTER Being able to translate data and insights is key in this role. Therefore, this leading retail brand is looking to hire an enthusiastic Data Analyst also strong in SQL and Data Bricks who has an avid interest in analysing customer behaviour. THE COMPANY: Working with a global retail brand will enable you to improve and develop your skills, as you would be working on a wide scope of activities. As part of this finance team you would also have great…",https://www.adzuna.co.uk/jobs/details/5112699375?utm_medium=api&utm_source=9b195f40,45000,50000,2025-03-26T20:03:08Z
Data Analyst,Acs Staffing Solutions,"Coventry, West Midlands","Job Description Our client based in Coventry is recruiting a Data Analyst on a permanent basis to be responsible for managing and processing data from various sources and presenting it in clear and concise reports and dashboards. This is a vital role within the company, that helps the business to make informed decisions, improve performance, and meet client expectations. You will also contribute to the overall quality and efficiency of the internal business operations. Key Responsibilities:- Di…",https://www.adzuna.co.uk/jobs/details/5059186437?utm_medium=api&utm_source=9b195f40,33231.23,33231.23,2025-02-21T14:44:28Z
Data Analyst,NHS Counter Fraud Authority,"Baginton, Coventry","Job summary The NHS Counter Fraud Authority is the national body responsible for all matters relating to the prevention, detection and investigation of economic crime across the NHS. Further information about our work and annual plan for delivering this is available on our website. Our new team are embarking on a piece of work to monitor data to identify and respond to patterns indicative of potential fraud. This will support our current work that reduces the likelihood of fraud occurring. We w…",https://www.adzuna.co.uk/jobs/details/5118395845?utm_medium=api&utm_source=9b195f40,29970,36483,2025-03-30T02:05:52Z
Junior Data Analyst,e-Careers Limited,"Baginton, Coventry","Are you looking to start a career in data analysis but don’t have prior experience? Join our team as a Trainee Data Analyst, and we will provide all the training you need to succeed in this exciting field. This role is perfect for someone analytical, curious, and eager to learn, with a passion for working with data. As a Trainee Data Analyst, you will work alongside experienced professionals and gain hands-on experience in data processing, analysis, and visualisation. We’re committed to your de…",https://www.adzuna.co.uk/jobs/details/4995239296?utm_medium=api&utm_source=9b195f40,28000,35000,2025-01-02T11:01:03Z
Data Analyst Trainee,ITOL Recruitment,"Coventry, West Midlands","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5104898861?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-21T16:20:56Z
Data Analyst Databricks,Harnham - Data & Analytics Recruitment,"Coventry, West Midlands","DATA ANALYST £45,000-£55,000  BENEFITS LEICESTER Being able to translate data and insights is key in this role. Therefore, this leading retail brand is looking to hire an enthusiastic Data Analyst also strong in SQL and Data Bricks who has an avid interest in analysing customer behaviour. THE COMPANY: Working with a global retail brand will enable you to improve and develop your skills, as you would be working on a wide scope of activities. As part of this finance team you would also have great…",https://www.adzuna.co.uk/jobs/details/5116664776?utm_medium=api&utm_source=9b195f40,45000,50000,2025-03-28T20:26:55Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Baginton, Coventry","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439694?utm_medium=api&utm_source=9b195f40,35229.96,35229.96,2025-03-21T12:02:34Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Baginton, Coventry","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439550?utm_medium=api&utm_source=9b195f40,35301.16,35301.16,2025-03-21T12:02:33Z
Entry-Level Data Analyst Programme (Hiring Immediately),ITonlinelearning Recruitment,"Baginton, Coventry","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120697073?utm_medium=api&utm_source=9b195f40,34489.49,34489.49,2025-04-01T03:34:24Z
Data Analyst Placement Programme - Comprehensive Training for Career Launch (Hiring Immediately),ITonlinelearning Recruitment,"Baginton, Coventry","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120697072?utm_medium=api&utm_source=9b195f40,36453.39,36453.39,2025-04-01T03:34:24Z
Trainee Business Consultant,ITOL Recruitment,"Coventry, West Midlands","Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a Business Consultant is an ideal fit for you. Dema…",https://www.adzuna.co.uk/jobs/details/5116636237?utm_medium=api&utm_source=9b195f40,26000,39000,2025-03-28T20:14:19Z
Data Analysis Trainee Opportunity (Hiring Immediately),ITonlinelearning Recruitment,"Baginton, Coventry","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120697092?utm_medium=api&utm_source=9b195f40,37654.27,37654.27,2025-04-01T03:34:24Z
Data Quality and Testing Internship,E.ON,"Coventry, West Midlands","Here's what you'll be doingWe are E.ON and we're leading the energy transition. Providing smart, sustainable and personalised solutions for customers at home, in business and across entire towns and cities.We make sure everything we do is focused on our customers, helping them with the major changes that are happening today and creating a new energy world that is decentralised, green, and interconnected. We've been a driving force behind the UK's renewable revolution for more than 25 years and,…",https://www.adzuna.co.uk/jobs/details/5110017561?utm_medium=api&utm_source=9b195f40,39332.31,39332.31,2025-03-25T11:54:41Z
