title,company,location,description,redirect_url,salary_min,salary_max,created
Data & Analytics Analyst,Motability Operations,"Leith, Edinburgh","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. We're looking for a data enthusiast, able to turn data into insights so they flow consistently across MO and shape our thinking to drive a culture of customer focused, evidence-based decision making. You have the important …",https://www.adzuna.co.uk/jobs/land/ad/5126033500?se=POlsg78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=42E6BE5362A32AEE525603015E59EDD09F1CCEC2,47655.86,47655.86,2025-04-03T09:16:37Z
Data Operations Analyst,BlackRock,"Edinburgh, Scotland","The Data Integrity Group (DIG), a member of the Aladdin Data organization, is entrusted with the management of security, market, and credit data that is integral to the investment decision process for BlackRock and its BlackRock Solutions (BRS) business. DIG closely partners with its stakeholders, such as Portfolio Management, BlackRock Capital Markets, Relationship Management, Portfolio Compliance, Risk Analytics, Regulatory Reporting, and others, with the goal of supplying accurate data, time…",https://www.adzuna.co.uk/jobs/land/ad/5062231353?se=POlsg78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=041C3194B581086D2C37F671F4E31D61540CE309,59081.4,59081.4,2025-02-24T16:53:13Z
Finance Data Analyst,Prudential UK Services,"Edinburgh, Scotland","At M&G our purpose is to give everyone real confidence to put their money to work. As an international savings and investments business with roots stretching back more than 170 years, we offer a range of financial products and services through Asset Management, Life and Wealth. All three operating segments work together to deliver attractive financial outcomes for our clients, and superior shareholder returns. Through our behaviours of telling it like it is, owning it now, and moving it forward…",https://www.adzuna.co.uk/jobs/details/5110480690?utm_medium=api&utm_source=9b195f40,47337.88,47337.88,2025-03-25T15:10:59Z
Senior Data Analyst,Aegon UK,"Edinburgh, Scotland","Job Description Summary Job Description Senior Data Analyst Permanent Location: Edinburgh (We believe in the power of in-person collaboration, and our hybrid model requires colleagues to be in the office a minimum of 40% of their time) Salary: A competitive salary from £39,120 – £58,680 depending on the experience you can bring Closing date: Thursday 10th April 2025 We’re Aegon – a company of ambitious, collaborative, problem-solvers who get things done. We strive to make sure everyone that wor…",https://www.adzuna.co.uk/jobs/details/5123846384?utm_medium=api&utm_source=9b195f40,39120,58680,2025-04-02T10:48:44Z
Senior Data Analyst,Royal London Group,"Edinburgh, Scotland","Do you want to make a real difference to the lives of millions of customers? Put your seriously strong critical thinking and analytical skills to test, and do just that. As an insight-led, modern mutual we are driven to focus on the most impactful things that we can do to improve financial resilience for millions of customers, and in playing our part in moving fairly to a sustainable world. By joining the Royal London team, you’ll get to work on really interesting opportunities, involving compl…",https://www.adzuna.co.uk/jobs/details/5046988287?utm_medium=api&utm_source=9b195f40,56400.66,56400.66,2025-02-12T08:11:13Z
Data Analyst Placement Programme,ITonlinelearning,"Edinburgh, Scotland","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943032535?utm_medium=api&utm_source=9b195f40,37052.89,37052.89,2024-11-18T17:52:35Z
Data & Analytics Lead Analyst,Motability Operations,"Leith, Edinburgh","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. In this role you will combine hands-on development in cloud based technologies, alongside direct management of a team of multi-skilled data analysts and data scientists delivering key data solutions. Your creative approach …",https://www.adzuna.co.uk/jobs/land/ad/5123364199?se=POlsg78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=5EE6B0AFE8234051622AF6BEE37A31222405B592,49111.26,49111.26,2025-04-02T05:19:11Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Edinburgh City Centre, Edinburgh","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439630?utm_medium=api&utm_source=9b195f40,35613.37,35613.37,2025-03-21T12:02:33Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Edinburgh City Centre, Edinburgh","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439494?utm_medium=api&utm_source=9b195f40,35685.44,35685.44,2025-03-21T12:02:32Z
"Data Analyst, Data Management (18 month Fixed Term Contract)",Baillie Gifford & Co,"Edinburgh, Scotland","Job Title Data Analyst, Data Management (18 month Fixed Term Contract) Department Data Management-BG-UK Overview of Department The Data Management Department is made up of four areas and each of these areas advocates and encompasses our overall aim as a department which is to improve the management of data at Baillie Gifford by establishing and promoting a data governance framework, promoting high quality of internally created data, ensuring external data is received, cleansed and made availabl…",https://www.adzuna.co.uk/jobs/details/5103070120?utm_medium=api&utm_source=9b195f40,32959.61,32959.61,2025-03-20T16:58:39Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Edinburgh City Centre, Edinburgh","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013041?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
Data Projects Analyst,Addepar,"Edinburgh, Scotland","Who We Are Addepar is a global technology and data company that helps investment professionals provide the most informed, precise guidance for their clients. Hundreds of thousands of users have entrusted Addepar to empower smarter investment decisions and better advice over the last decade. With client presence in more than 45 countries, Addepar’s platform aggregates portfolio, market and client data for over $7 trillion in assets. Addepar’s open platform integrates with more than 100 software,…",https://www.adzuna.co.uk/jobs/details/5107627518?utm_medium=api&utm_source=9b195f40,50638.72,50638.72,2025-03-23T11:52:32Z
Data Protection Analyst,Aberdeen Corporate Services Limited,"Edinburgh, Scotland","Job Description Fixed Term Contract (End date: 31st December 2025) aberdeen plc is one of Europe’s largest investment companies, and we are built on a long-standing culture of caring about the future and making a positive impact. Together we invest for a better future. We do it to make a difference to the lives of our clients and customers, our employees, society, and our shareholders. Our business is structured around three distinct areas focused on our clients' changing needs. abrdn Investmen…",https://www.adzuna.co.uk/jobs/details/5112073059?utm_medium=api&utm_source=9b195f40,44317.41,44317.41,2025-03-26T11:23:38Z
Data Reporting Analyst,Snappy Shopper,"Riccarton, Currie","Internally this role will be titled as ""Brand & Business Reporting Analyst"" About Us Snappy Shopper is the market leader in the growing Q-commerce convenience grocery sector, worth £41b in the UK. In addition to our independent retailers, we serve most of the major convenience store players, including Spar, Nisa, Premier and Booker. Snappy exists to enable local high street businesses to serve their customers online so that local communities thrive, and revenue stays local. Retailers have seen …",https://www.adzuna.co.uk/jobs/details/5087042756?utm_medium=api&utm_source=9b195f40,34464.64,34464.64,2025-03-11T13:33:49Z
Entry-Level Data Analyst Trainee Programme (Hiring Immediately),ITonlinelearning Recruitment,"Edinburgh City Centre, Edinburgh","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630177?utm_medium=api&utm_source=9b195f40,33997.26,33997.26,2025-04-01T02:38:40Z
Data Analyst Placement Programme - Accredited Online DA Training (Hiring Immediately),ITonlinelearning Recruitment,"Edinburgh City Centre, Edinburgh","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630178?utm_medium=api&utm_source=9b195f40,36658.88,36658.88,2025-04-01T02:38:40Z
Data & Analytics Lead Analyst,Motability Operations,"Edinburgh, Scotland","Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. In this role you will combine hands-on development in cloud based technologies, alongside direct management of a team of multi-skilled data analysts and data scientists delivering key data solutions. Your creative approach …",https://www.adzuna.co.uk/jobs/details/5123675381?utm_medium=api&utm_source=9b195f40,48844.79,48844.79,2025-04-02T07:38:09Z
Junior Data Consultant,Sparta Global Limited,"Edinburgh, Scotland","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846296?se=POlsg78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=D9BB306149F6D246D7FB153266B4C8D9C7A773EB,24000,24000,2025-04-01T17:45:17Z
Junior Data Analysis Career Launchpad (Hiring Immediately),ITonlinelearning Recruitment,"Edinburgh City Centre, Edinburgh","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630179?utm_medium=api&utm_source=9b195f40,37472.71,37472.71,2025-04-01T02:38:40Z
Portfolio Data Engineer,Addepar,"Edinburgh, Scotland","Who We Are Addepar is a global technology and data company that helps investment professionals provide the most informed, precise guidance for their clients. Hundreds of thousands of users have entrusted Addepar to empower smarter investment decisions and better advice over the last decade. With client presence in more than 45 countries, Addepar’s platform aggregates portfolio, market and client data for over $7 trillion in assets. Addepar’s open platform integrates with more than 100 software,…",https://www.adzuna.co.uk/jobs/details/5117790687?utm_medium=api&utm_source=9b195f40,52189.8,52189.8,2025-03-29T11:43:43Z
Data Engineering Manager - Portfolio Data,Addepar,"Edinburgh, Scotland","Who We Are Addepar is a global technology and data company that helps investment professionals provide the most informed, precise guidance for their clients. Hundreds of thousands of users have entrusted Addepar to empower smarter investment decisions and better advice over the last decade. With client presence in more than 45 countries, Addepar’s platform aggregates portfolio, market and client data for over $7 trillion in assets. Addepar’s open platform integrates with more than 100 software,…",https://www.adzuna.co.uk/jobs/details/4987146196?utm_medium=api&utm_source=9b195f40,61970.41,61970.41,2024-12-23T12:26:49Z
"Data Specialist, Data Management (18 month Fixed Term Contract)",Baillie Gifford & Co,"Edinburgh, Scotland","Job Title Data Specialist, Data Management (18 month Fixed Term Contract) Department Data Management-BG-UK Overview of Department The Data Management Department is made up of four areas and each of these areas advocates and encompasses our overall aim as a department which is to improve the management of data at Baillie Gifford by establishing and promoting a data governance framework, promoting high quality of internally created data, ensuring external data is received, cleansed and made avail…",https://www.adzuna.co.uk/jobs/details/5103070483?utm_medium=api&utm_source=9b195f40,35565.89,35565.89,2025-03-20T16:58:54Z
Seismic Acquisition Analysts & Specialists,Concept Systems,"Edinburgh, Scotland","As part of the global CGG Group, Sercel Concept is a world leading provider of software systems and services. For nearly 40 years, our teams have been committed to delivering innovative, client-driven solutions. Our dedication to continuous development ensures that our customers not only have access to, but also help define the latest advances in technology. In addition to providing solutions to optimise the data quality, operational efficiency and transparency of offshore operations in the ene…",https://www.adzuna.co.uk/jobs/details/4802505296?utm_medium=api&utm_source=9b195f40,63144.48,63144.48,2024-07-31T15:02:41Z
Data Projects Lead,Addepar,"Edinburgh, Scotland","Who We Are Addepar is a global technology and data company that helps investment professionals provide the most informed, precise guidance for their clients. Hundreds of thousands of users have entrusted Addepar to empower smarter investment decisions and better advice over the last decade. With client presence in more than 45 countries, Addepar’s platform aggregates portfolio, market and client data for over $7 trillion in assets. Addepar’s open platform integrates with more than 100 software,…",https://www.adzuna.co.uk/jobs/details/5107627343?utm_medium=api&utm_source=9b195f40,55350.77,55350.77,2025-03-23T11:52:13Z
Business Analyst Banking Edinburgh Hybrid Up to £650/d,Adecco,"Edinburgh, Scotland","Business Analyst | Banking | Edinburgh | 6 Months Contract with possible extensions | £650/day Inside IR35 | Hybrid - 2 days in office per week, 3 days WFH | Financial Services | Customer Journey | SQL | Our Retail Banking client is seeking a highly motivated Business Analyst to join and assist an established team orchestrating customer journey, with a focus on technology amongst other aspects. You will be responsible for understanding and optimising the end-to-end customer experience (internal…",https://www.adzuna.co.uk/jobs/land/ad/5094420682?se=POlsg78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=2816F56C44CAD6706981472FC93A19D85F70BADE,156000,169000,2025-03-15T00:21:16Z
