title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,UNIVERSITY OF GLASGOW,"Hillhead, Glasgow City Centre","Job details Posted 10 February 2025 Salary Grade 7, £40,247 - £45,163 per annum End date 10 March 2025 LocationGlasgow Job Family Management Professional & Administrative Reference163772 Job description Job Purpose Planning, Insight and Analytics are seeking two exceptional Data Analysts to join our hard-working, supportive and friendly Data Analytics team. We have two vacancies available: one full-time permanent role focused on admissions data and student numbers' forecasts, and one full-time …",https://www.adzuna.co.uk/jobs/details/5047236104?utm_medium=api&utm_source=9b195f40,41280.49,41280.49,2025-02-12T14:06:35Z
Data Analyst,Hays Specialist Recruitment Limited,"Glasgow City Centre, Glasgow","Your New Company and Role Hays' client is a leading Scottish public sector organisation. You will play a crucial role in their data migration project, transitioning data from our current system to a new platform.In this role, you will: Cleanse and transform data from the current system for migration to the new platform. Map external data sources, interfaces, and third-party systems. Document off-system data sources and identify critical data for inclusion in the transformation activity. Evaluat…",https://www.adzuna.co.uk/jobs/details/5103380414?utm_medium=api&utm_source=9b195f40,78000,91000,2025-03-20T20:07:14Z
Data Analyst,Hays,"Glasgow, Scotland","Your New Company and Role Hays' client is a leading Scottish public sector organisation. You will play a crucial role in their data migration project, transitioning data from our current system to a new platform. In this role, you will: Cleanse and transform data from the current system for migration to the new platform. Map external data sources, interfaces, and third-party systems. Document off-system data sources and identify critical data for inclusion in the transformation activity. Evalua…",https://www.adzuna.co.uk/jobs/land/ad/5103495608?se=9PYXi78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=0F9DF570F32FA7B54CC50828D7596442AC66146E,78000,91000,2025-03-20T20:39:17Z
Trainee Data Analyst,Elite Hiring Solution,"Glasgow City Centre, Glasgow","We are seeking a motivated and analytically minded Trainee Data Analyst to join our dynamic team. This entry-level position is perfect for recent graduates or individuals with a strong interest in data analysis who are looking to kickstart their career in a supportive and progressive environment. Responsibilities: Assist in the collection, analysis, and interpretation of data from various sources. Support senior analysts in managing data sets and creating reports for internal use. Learn and app…",https://www.adzuna.co.uk/jobs/details/5123091142?utm_medium=api&utm_source=9b195f40,28000,32000,2025-04-02T01:19:08Z
Data Analyst Placement Programme,ITonlinelearning,"Glasgow, Scotland","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943040644?utm_medium=api&utm_source=9b195f40,37497.81,37497.81,2024-11-18T17:57:47Z
Systems Analyst / Data Analyst,Anderson Knight,"Glasgow, Scotland","Anderson Knight Recruitment is partnering with one of our key clients, a leading global distribution business, to recruit a skilled Systems Analyst / Data Analyst. This is an exceptional opportunity for a motivated and detail-oriented individual to advance their career within a dynamic, fast-paced environment. Key Responsibilities: Identify and resolve data integration issues between various systems, ensuring seamless data flow and accuracy. Work with large datasets to guarantee smooth integrat…",https://www.adzuna.co.uk/jobs/land/ad/5103740027?se=9PYXi78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=450C44791DA5DB27F5CC8C3934FB9D294179850A,40000,45000,2025-03-21T01:49:05Z
Junior Investment Data Analyst,Regal Brooke Limited,"Glasgow City Centre, Glasgow","Junior Investment Data Analyst Location: London, UKType: Full-Time About Us:Join a leading investment firm in the heart of London, where data drives our decisions. We are committed to fostering a culture of excellence and innovation, and we are currently seeking a talented and motivated Investment Data Analyst to join our dynamic team. This entry-level position is designed for recent graduates eager to kickstart their careers in finance, providing a platform to grow professionally while contrib…",https://www.adzuna.co.uk/jobs/details/5079972462?utm_medium=api&utm_source=9b195f40,32000,34000,2025-03-06T23:00:43Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Glasgow, Scotland","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439881?utm_medium=api&utm_source=9b195f40,35820.77,35820.77,2025-03-21T12:02:37Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Glasgow, Scotland","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439765?utm_medium=api&utm_source=9b195f40,35893.27,35893.27,2025-03-21T12:02:35Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Whiteinch, Glasgow","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013039?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
Data Analyst Placement Programme - Comprehensive accredited online training (Hiring Immediately),ITonlinelearning Recruitment,"Glasgow, Scotland","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630188?utm_medium=api&utm_source=9b195f40,36906.95,36906.95,2025-04-01T02:38:42Z
Analyst Data Operations,BX,"Glasgow, Scotland","Job Description Purpose of the role To implement data quality process and procedures, ensuring that data is reliable and trustworthy, then extract actionable insights from it to help the organisation improve its operation, and optimise resources. Accountabilities Investigation and analysis of data issues related to quality, lineage, controls, and authoritative source identification. Execution of data cleansing and transformation tasks to prepare data for analysis. Designing and building data pi…",https://www.adzuna.co.uk/jobs/details/5113389706?utm_medium=api&utm_source=9b195f40,43810.37,43810.37,2025-03-27T11:24:34Z
Technical Analyst - Reference data technology,Barclays UK,"Glasgow, Scotland","Join us as a Reference data Technical Analyst and be involved in critical deliverables for regulatory requirements in investment banking domain. To be successful as a Reference data Technical Analyst, you should have: Reference data experience: Reference data around Counterparty, IB Market regulations , Settlement instructions, Trading books etc. Detailed data analysis experience. Hands on experience with data ingestion, process , extract and analysis Translation of requirements to detailed des…",https://www.adzuna.co.uk/jobs/land/ad/5114679374?se=9PYXi78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=6BA1BDC0F88B6BE78F05B938EEBD16B0F701AA9D,28833.6,28833.6,2025-03-28T00:25:06Z
Systems Analyst,Anderson Knight,"Glasgow, Scotland","Anderson Knight Recruitment is partnering with one of our key clients, a leading global distribution business, to recruit a skilled Systems Analyst / Data Analyst. This is an exceptional opportunity for a motivated and detail-oriented individual to advance their career within a dynamic, fast-paced environment. Key Responsibilities:  Identify and resolve data integration issues between various systems, ensuring seamless data flow and accuracy.  Work with large datasets to guarantee smooth integr…",https://www.adzuna.co.uk/jobs/land/ad/5103958509?se=9PYXi78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=57D72DA7F482F2D2A796A04EB07BEE1BEF76038A,40000,45000,2025-03-21T04:57:07Z
Data Manager SQL / Data Cubes,Meraki Talent Limited,"Glasgow City Centre, Glasgow","Data Manager (SQL / Data Cubes) Excellent Salary & PackageEdinburgh or Glasgow (Hybrid, 2/3 days per week in the office)PermanentPosted Tue 25 March 2025CVs ASAPStart date Apr – Jul 25 Meraki Talent’s client is actively looking for a Data Manager (SQL / Data Cubes) to help govern the data for a rapidly growing business. The Data Manager (SQL / Data Cubes) will manage and develop the Data Cube, the primary data warehouse for reporting. Our client is completing Phase 1 of the Data Cube developmen…",https://www.adzuna.co.uk/jobs/details/5110174657?utm_medium=api&utm_source=9b195f40,40691.07,40691.07,2025-03-25T12:31:31Z
Trainee Business Consultant,ITOL Recruitment,"Glasgow City Centre, Glasgow","Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a Business Consultant is an ideal fit for you. Dema…",https://www.adzuna.co.uk/jobs/details/5120303187?utm_medium=api&utm_source=9b195f40,26000,39000,2025-03-31T19:31:49Z
Data Engineer - Leading Media Company - Glasgow,Noir,"Glasgow, Scotland","Data Engineer - Leading Media Company - Glasgow (Tech Stack: Data Engineer, Databricks, Python, Power BI, AWS QuickSight, AWS, TSQL, ETL, Agile Methodologies) I'm currently recruiting on behalf of a leading Software House in the Media industry , looking for a Data Engineer to join their growing team. This is a fantastic opportunity for an experienced Data Engineer to work on cutting-edge data solutions in a fast-paced, innovative environment. The Role: In this position, you will be responsible …",https://www.adzuna.co.uk/jobs/details/5108683361?utm_medium=api&utm_source=9b195f40,40000,45000,2025-03-24T11:15:48Z
Foundational Data Analytics Career Programme (Hiring Immediately),ITonlinelearning Recruitment,"Glasgow, Scotland","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630174?utm_medium=api&utm_source=9b195f40,39129.6,39129.6,2025-04-01T02:38:40Z
Entry-Level Data Insights Training Program (Hiring Immediately),ITonlinelearning Recruitment,"Glasgow, Scotland","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5120630165?utm_medium=api&utm_source=9b195f40,37371.71,37371.71,2025-04-01T02:38:40Z
Data Engineer,Sword Group,"Glasgow, Scotland","Sword is a leading provider of business technology solutions within the Energy, Public and Finance Sectors, driving transformational change within our clients. We use proven technology, specialist teams and domain expertise to build solid technical foundations across platforms, data, and business applications. We have a passion for using technology to solve business problems, working in partnership with our clients to help in achieving their goals. About the role: As a Data Engineer, you’ll pla…",https://www.adzuna.co.uk/jobs/details/5104894999?utm_medium=api&utm_source=9b195f40,52386.62,52386.62,2025-03-21T16:07:03Z
Data Engineer,Bright Purple,"Glasgow, Scotland","Data Engineer - Glasgow Bright Purple are working in close partnership with a successful Glasgow based organisation. They are undergoing an exciting data transformation strategy that will see new and emerging technologies leveraged to overhaul how they store, manage and harness their data. You will enjoy the benefits of their Glasgow office three days (3) a week, a place where they collaborate closely, working through problems together, and benefiting from amazing on site facilities, including …",https://www.adzuna.co.uk/jobs/details/5110208707?utm_medium=api&utm_source=9b195f40,45000,45000,2025-03-25T13:09:33Z
"Technology, Data and Product - Glasgow - 2025 ReEntry Program",241387-Comp & Ben Admin Prof Fees,"Glasgow City Centre, Glasgow","Description At JPMorganChase, we recognize that rewarding careers do not always follow a conventional path. We value the diversity, fresh perspective and wealth of experience that returning professionals can bring. The ReEntry program offers experienced professionals, who are currently on an extended career break of at least two years, the support and resources needed to relaunch their careers. The program spans over 30 locations worldwide. The ReEntry Program is a 15-week fellowship program, b…",https://www.adzuna.co.uk/jobs/details/5098571436?utm_medium=api&utm_source=9b195f40,54921.18,54921.18,2025-03-18T10:31:18Z
System Analyst,Lorien,"Glasgow City Centre, Glasgow","SYSTEMS ANALYST - INITIAL 5 MONTH CONTRACT - INSIDE IR35 One of Loriens leading Public Sector clients is looking for highly skilled Systems Analyst to join their team on an initial 5 month contract. This client is Glasgow based but is open to remote working for the right candidate. Description of Role You will be part of an established agile delivery team working to deliver a new back-office database and associated reporting applications. This is a fast-paced, delivery-focused role where workin…",https://www.adzuna.co.uk/jobs/details/5087079509?utm_medium=api&utm_source=9b195f40,54316.8,54316.8,2025-03-11T13:39:18Z
Data Engineer III,J.P. Morgan,"Glasgow City Centre, Glasgow","Description Be part of a dynamic team where your distinctive skills will contribute to a winning culture and team. As a Data Engineer III at JPMorgan Chase within the Data Strategy team in International Regulatory Reporting, you serve as a seasoned member of an agile team to design and deliver trusted data collection, storage, access, and analytics solutions in a secure, stable, and scalable way. You are responsible for developing, testing, and maintaining critical data pipelines and architectu…",https://www.adzuna.co.uk/jobs/details/4959883193?utm_medium=api&utm_source=9b195f40,57540.98,57540.98,2024-12-02T18:14:30Z
Data Engineer III,241387-Comp & Ben Admin Prof Fees,"Glasgow City Centre, Glasgow","Description Be part of a dynamic team where your distinctive skills will contribute to a winning culture and team. As a Data Engineer III at JPMorgan Chase within the Data Strategy team in International Regulatory Reporting, you serve as a seasoned member of an agile team to design and deliver trusted data collection, storage, access, and analytics solutions in a secure, stable, and scalable way. You are responsible for developing, testing, and maintaining critical data pipelines and architectu…",https://www.adzuna.co.uk/jobs/details/5043866737?utm_medium=api&utm_source=9b195f40,73862.25,73862.25,2025-02-09T15:51:11Z
Business Analyst,Sword Group,"Glasgow, Scotland","Sword is a leading provider of business technology solutions within the Energy, Public and Finance Sectors, driving transformational change within our clients. We use proven technology, specialist teams and domain expertise to build solid technical foundations across platforms, data, and business applications. We have a passion for using technology to solve business problems, working in partnership with our clients to help in achieving their goals. About the Role As a Business Analyst, you will…",https://www.adzuna.co.uk/jobs/details/5121857110?utm_medium=api&utm_source=9b195f40,37128.02,37128.02,2025-04-01T17:57:15Z
Financial Crime Data Architect,Barclays UK,"Glasgow, Scotland","As the Financial Crime Data Architect at Barclays, you will be responsible for defining, directing and governing Barclays' target data architecture in support of our financial crime initiatives. This includes the design of shared data environments, data models and standards, ensuring that data is accurate, secure and accessible to meet the evolving needs of the business and regulatory stakeholders. To be successful as a Financial Crime Data Architect, you should have experience with: Previous e…",https://www.adzuna.co.uk/jobs/land/ad/5105443824?se=9PYXi78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=C6E99F7A9A45B866C2B5356B99C7EFD2FE71ADAE,30754.91,30754.91,2025-03-21T23:39:41Z
