title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst - Graduate,Grayce,"Leeds, West Yorkshire","Job Position: Graduate Data Analyst via the Graduate Development Programme? Locations: Leeds Starting Salary: £25,000 Application Requirements: Minimum 2:1 degree in Mathematics, Economics, Finance, Accounting, Business Management, or another numerically focused subject Right to work in the UK unsponsored for the duration of the programme. Ability to work on site 5 days a week. Grayce is not on the UK Border Agency's Sponsor Register and is unable to sponsor work visas for international applica…",https://www.adzuna.co.uk/jobs/land/ad/5104875067?se=7qtwjb8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=A7E80BAA95A0886ACEAE90C6015825620E54DB25,24000,24000,2025-03-21T15:44:13Z
Data Analyst,West Yorkshire Combined Authority,"Leeds, West Yorkshire","Data Analyst £27,920 pa (pay award pending), Grade 3 Leeds Permanent 37 hours pw Applications for part time / job share will be considered Closing date: 6 April 2025 Please visit our Advice for Candidates webpage which will provide you with support in completing your application. West Yorkshire Mayor, Tracy Brabin, has a message for all potential applicants - Watch the video View our Life at West Yorkshire Combined Authority page . View the job and apply",https://www.adzuna.co.uk/jobs/land/ad/5110659395?se=7qtwjb8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=9FF23BC2B765EC420CDAE34F6D7B8E7B5909CE47,35039.44,35039.44,2025-03-25T16:52:42Z
Data Analyst,Aramark,"Leeds, West Yorkshire","Aramark UK is looking for a Data Analyst to join the team on a fixed-term contract to play a pivotal role as a dedicated resource in an ongoing project. The successful candidate will help drive our data-driven decision-making process. If you have a talent in applying standards and best practices to present, communicate and disseminate data appropriately, we would love to hear from you The role is hybrid with a requirement of being in the Leeds office on agreed days to work with the broader team…",https://www.adzuna.co.uk/jobs/details/5112238368?utm_medium=api&utm_source=9b195f40,33952.13,33952.13,2025-03-26T15:50:10Z
Commercial Data Analyst,Pharmacy2U,"Colton, Leeds","Role: Data Analyst (Commercial) Location: Leeds,LS15 (with hybrid working after completion of training) Salary: £30,000 - £45,000 per annum DOE, plus extensive benefits Contract type: Permanent Employment type: Full time Working hours: 40 hours per week, Monday – Friday Do you want to work for the nation’s largest online pharmacy ensuring excellence for all our patients? We’re a market leader in the pharmacy world, with 25 years’ experience, helping over 1.4 million patients in England manage t…",https://www.adzuna.co.uk/jobs/details/5113469618?utm_medium=api&utm_source=9b195f40,30000,45000,2025-03-27T13:44:55Z
Data Analyst Trainee,ITOL Recruitment,"Leeds, West Yorkshire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5089208903?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-12T17:40:15Z
Trainee Data Analyst,Alfred Rennox,"Leeds, West Yorkshire","Start your data career with a market-leading organization As a Trainee Data Analyst, you'll develop expertise in data analysis, visualization, and decision-making, helping to drive business success. Key Responsibilities: Analyze datasets to identify trends and support strategic decisions. Develop insightful reports and dashboards. Collaborate with senior analysts on impactful projects. Work with cutting-edge data tools and technologies. Requirements: Bachelors degree in Data Science, Statistics…",https://www.adzuna.co.uk/jobs/details/5098038380?utm_medium=api&utm_source=9b195f40,30000,30000,2025-03-18T01:28:08Z
Data Analyst - Graduate,Grayce,"Leeds, West Yorkshire","Job Position: Graduate Data Analyst via the Graduate Development Programme? Locations: Leeds Starting Salary: £25,000 Application Requirements: Minimum 2:1 degree in Mathematics, Economics, Finance, Accounting, Business Management, or another numerically focused subject Right to work in the UK unsponsored for the duration of the programme. Ability to work on site 5 days a week. Grayce is not on the UK Border Agency's Sponsor Register and is unable to sponsor work visas for international applica…",https://www.adzuna.co.uk/jobs/details/5099743868?utm_medium=api&utm_source=9b195f40,24000,24000,2025-03-18T21:30:30Z
Graduate Data Analyst - Leeds,Grayce,"Leeds, West Yorkshire","Job Position: Graduate Data Analyst – via the Graduate Development Programme Locations: Leeds Starting Salary: £25,000 Application Requirements: Minimum 2:1 or above in any undergraduate subject. Right to work in the UK unsponsored for the duration of the programme. Ability to work on site 5 days a week. Grayce is not on the UK Border Agency's Sponsor Register and is unable to sponsor work visas for international applicants. Are you a recent graduate with a strong numerical background and an in…",https://www.adzuna.co.uk/jobs/details/5099108253?utm_medium=api&utm_source=9b195f40,25000,25000,2025-03-18T15:57:30Z
Customer Growth Data Analyst,Pharmacy2U,"Colton, Leeds","Role: Customer Growth Data Analyst Location: Leeds, LS15 (with hybrid working after completion of training) Salary: £30 - £50k per annum DOE, plus extensive benefits Contract type: Permanent Employment type: Full time Working hours: 40 hours pw, Monday to Friday Do you want to work for the nation’s largest online pharmacy ensuring excellence for all our patients? We’re a market leader in the pharmacy world, with 25 years’ experience, helping over 1.4 million patients in England manage their NHS…",https://www.adzuna.co.uk/jobs/details/5113469617?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-27T13:44:55Z
Lead Data Analyst (Financial),Pharmacy2U,"Colton, Leeds","Role: Lead Data Analyst (Financial) Location: Leeds LS15 (with hybrid working after completion of training) Salary: £40 – 60k DOE per annum plus extensive benefits Contract type: Permanent Employment type:Full time Working hours: 37.5 hours pw – Monday – Friday Do you want to work for the nation’s largest online pharmacy ensuring excellence for all our patients? We’re a market leader in the pharmacy world, with 25 years’ experience, helping over 1.4 million patients in England manage their NHS …",https://www.adzuna.co.uk/jobs/details/5113469608?utm_medium=api&utm_source=9b195f40,40000,60000,2025-03-27T13:44:55Z
Data Analyst Placement Programme,ITonlinelearning,"Hyde Park, Leeds","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943041356?utm_medium=api&utm_source=9b195f40,35896.59,35896.59,2024-11-18T17:57:52Z
