title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,Harnham - Data & Analytics Recruitment,"Leicester, Leicestershire","Data Analyst Leicester (4x a week) £45,000 - £50,000 An incredible opportunity to join one of the nation's largest retailers as a Data Analyst THE COMPANY A leading brand in the retail industry is seeking a Data Analyst to join their finance team and provide support to a small, non-technical group. If you're ready to make an impact, this is for you THE ROLE As a Data Analyst, you'll be working on ensuring accuracy of payment data, supporting strategy and driving insights. Your role will involve…",https://www.adzuna.co.uk/jobs/details/5111248568?utm_medium=api&utm_source=9b195f40,40000,51000,2025-03-25T20:16:30Z
Data Analyst,Harnham - Data & Analytics Recruitment,"Leicester, Leicestershire","Data AnalystLeicester (4x a week) £45,000 - £51,000 An incredible opportunity to join one of the nation's largest retailers as a Data Analyst THE COMPANY A leading brand in the retail industry is seeking a Data Analyst to join their finance team and provide support to a small, non-technical group. If you're ready to make an impact, this is for you THE ROLE As a Data Analyst, you'll be working on ensuring accuracy of payment data, supporting strategy and driving insights. Your role will involve …",https://www.adzuna.co.uk/jobs/details/5111242624?utm_medium=api&utm_source=9b195f40,45000,51000,2025-03-25T20:04:20Z
Data Analyst,IBM,"Leicester, Leicestershire","Introduction In this role, you’ll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You’…",https://www.adzuna.co.uk/jobs/details/5095962990?utm_medium=api&utm_source=9b195f40,65941.88,65941.88,2025-03-15T22:57:32Z
Data Analyst,IBM,"Leicester, Leicestershire","Introduction In this role, you'll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'…",https://www.adzuna.co.uk/jobs/details/5116417827?utm_medium=api&utm_source=9b195f40,65501.89,65501.89,2025-03-28T18:56:51Z
Trainee Data Analyst,Alfred Rennox,"Humberstone, Leicester","Our client, a prominent IT and tech industry leader, is seeking a detail-oriented and ambitious Trainee Data Analyst. If you're eager to develop hands-on data skills while working with industry experts, this is the perfect role for you. Role Overview You will support data collection, analysis, and reporting efforts to drive business decisions. Working alongside senior analysts, you will gain valuable experience in interpreting data and creating visual insights. Key Responsibilities  Assist in c…",https://www.adzuna.co.uk/jobs/land/ad/5097470253?se=LNrFlL8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=33059DC27954F7A6087339464598CF3F788C7609,27000,33000,2025-03-17T14:36:24Z
Data Analyst Trainee,ITOL Recruitment,"Leicester, Leicestershire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5101543319?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-19T19:58:58Z
Trainee Data Analyst,Elite Hiring Ltd T/A Elite Hiring Solution,"Leicester, Leicestershire","Our client is a leading IT solutions provider, dedicated to harnessing the power of data to drive innovation and operational efficiency. Known for their cutting-edge technology solutions and data-driven strategies, they are now seeking an enthusiastic Trainee Data Analyst to join their vibrant team. Job Description: As a Trainee Data Analyst, you will embark on a journey to understand the intricacies of data analysis within the tech industry. You will work closely with senior data analysts and …",https://www.adzuna.co.uk/jobs/details/5123698281?utm_medium=api&utm_source=9b195f40,30000,30000,2025-04-02T07:43:03Z
Senior Data Analyst,Oscar Technology,"Leicester, Leicestershire","Role: Senior Data Analyst Skills: Python, SQL, Salary: £50,000  Excellent Benefits  Career Progression Location: Leicester Working Pattern: Hybrid Summary One of Oscar's long-term clients are looking for an experienced Data Analyst with confident Python, SQL, and ETL experience to join their well-established Data and Analytics team. Their office is located in the Hinckley area, with easy access to transport links. The role has opened up as the company are exploring the exciting opportunities an…",https://www.adzuna.co.uk/jobs/details/5109317568?utm_medium=api&utm_source=9b195f40,50000,50000,2025-03-24T20:26:01Z
Data Analyst - Databricks,Harnham - Data & Analytics Recruitment,"Leicester, Leicestershire","Data Analyst - Databricks Leicester (4x a week) £50k  benefits Harnham are exclusively partnering with a renowned British retailer hiring for a Finance Analyst. You will have the opportunity to make a real impact in this role, as the team reconciles over £3 billion in payments yearly. The Role As a Finance Analyst, you will be: Extracting data via a data warehouse using Databricks and SQL (SSMS). Ensuring accuracy and consistence of data used in analysis. Automating reporting. Reviewing core we…",https://www.adzuna.co.uk/jobs/details/5103333293?utm_medium=api&utm_source=9b195f40,45000,50000,2025-03-20T20:03:34Z
Trainee Data Analyst,Alfred Rennox,"Leicester, Leicestershire","Start your data career with a market-leading organization As a Trainee Data Analyst, you'll develop expertise in data analysis, visualization, and decision-making, helping to drive business success. Key Responsibilities: Analyze datasets to identify trends and support strategic decisions. Develop insightful reports and dashboards. Collaborate with senior analysts on impactful projects. Work with cutting-edge data tools and technologies. Requirements: Bachelors degree in Data Science, Statistics…",https://www.adzuna.co.uk/jobs/details/5081790626?utm_medium=api&utm_source=9b195f40,30000,30000,2025-03-07T21:44:37Z
Data Analyst - FinanceOps,NEXT,"Leicester, Leicestershire","Data Analyst - FinanceOps Job Description Job Title: Data Analyst Location: Leicestershire (Hybrid) Salary: Competitive plus bonus & benefits About the Role We are seeking a highly skilled and motivated Data Analyst to join the Finance Operations division at Next plc. As part of a dynamic team supporting Accounts Payable, Stock, and Banking functions, you will play a key role in delivering high-quality reporting solutions using modern tools and technologies. If you thrive in a fast-paced enviro…",https://www.adzuna.co.uk/jobs/details/5088725561?utm_medium=api&utm_source=9b195f40,35651.33,35651.33,2025-03-12T12:29:43Z
Data Analyst Placement Programme,ITonlinelearning,"Humberstone, Leicester","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943041672?utm_medium=api&utm_source=9b195f40,37213.06,37213.06,2024-11-18T17:57:54Z
