title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,ameygroupi,"Garston, Liverpool","Your New Role We have a fantastic opportunity for Data Analyst to join our Group Performance and Improvement team on a full time, permanent basis. This role will be based in Liverpool and offer hybrid working. As a Data Analyst, you will collaborate closely with various teams to deliver accurate, meaningful reports and visualisations that support business objectives. Using your knowledge and experience in SQL and the Microsoft power platform you will be working on continuous improvement project…",https://www.adzuna.co.uk/jobs/details/5057863770?utm_medium=api&utm_source=9b195f40,35441.86,35441.86,2025-02-20T17:35:40Z
Data Analyst Trainee,ITOL Recruitment,"Liverpool, Merseyside","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5101533592?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-19T19:58:21Z
Trainee Data Analyst,Elite Hiring Solution,"Liverpool, Merseyside","We are seeking a motivated and analytically minded Trainee Data Analyst to join our dynamic team. This entry-level position is perfect for recent graduates or individuals with a strong interest in data analysis who are looking to kickstart their career in a supportive and progressive environment. Responsibilities: Assist in the collection, analysis, and interpretation of data from various sources. Support senior analysts in managing data sets and creating reports for internal use. Learn and app…",https://www.adzuna.co.uk/jobs/details/5123088768?utm_medium=api&utm_source=9b195f40,28000,32000,2025-04-02T01:15:58Z
People Data Analyst,Harvey Nash,"Liverpool, Merseyside","People Data Analyst - Success Factors - Sought by Financial Services - FTC - Liverpool Required Skills: Hands-on expertise with Success Factors People Analytics (Report Stories). SQL proficiency for querying, analysing and interpreting large data sets (ideally Snowflake). Experience developing MI reports and working with complex HR data. Advanced proficiency in Excel. Experience developing dashboards in visualisation tools, ideally Power BI or Tableau. High level of accuracy and attention to de…",https://www.adzuna.co.uk/jobs/details/5118374360?utm_medium=api&utm_source=9b195f40,50000,55000,2025-03-30T00:23:46Z
Junior Data Analyst,Morrison Energy Services,"Liverpool, Merseyside","About The Role M Group Right across infrastructure, there’s a requirement to not only maintain, but also renew and reimagine. Whatever stage you’re at in your career, with us you’ll have an opportunity to grow and develop. Delivering essential infrastructure services for life, while being safety first, and client and customer centric in a friendly, fun and respectful environment where you are encouraged to thrive. Where will you be working? M Group Energy At M Group Energy, we’re enabling the e…",https://www.adzuna.co.uk/jobs/land/ad/5123092745?se=WK04jL8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=E36D6D58F7D888DD7FA8A6D4D6C4A7BC1BFA9A45,27502.51,27502.51,2025-04-02T01:20:22Z
Junior Data Analyst,M Group Energy,"Liverpool, Merseyside","About The Role M Group Right across infrastructure, theres a requirement to not only maintain, but also renew and reimagine. Whatever stage youre at in your career, with us youll have an opportunity to grow and develop. Delivering essential infrastructure services for life, while being safety first, and client and customer centric in afriendly, fun and respectful environment where you are encouraged to thrive. Where will you be working? M Group Energy At M Group Energy, were enabling the energy…",https://www.adzuna.co.uk/jobs/details/5123698285?utm_medium=api&utm_source=9b195f40,25529.86,25529.86,2025-04-02T07:43:03Z
Data Analyst Placement Programme,ITonlinelearning,"Stanley, Liverpool","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943032677?utm_medium=api&utm_source=9b195f40,35260.28,35260.28,2024-11-18T17:52:36Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Low Hill, Liverpool","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439635?utm_medium=api&utm_source=9b195f40,33500.81,33500.81,2025-03-21T12:02:33Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Low Hill, Liverpool","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439773?utm_medium=api&utm_source=9b195f40,33568.67,33568.67,2025-03-21T12:02:35Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Stanley, Liverpool","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013025?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
