title,company,location,description,redirect_url,salary_min,salary_max,created
Cloud Monitoring & Data Analyst,Proactive Appointments Limited,"Hampton Wick, Kingston Upon Thames","Cloud Monitoring & Data Analyst 5 days onsite - Police Security Clearance checks required We are seeking a skilled Cloud Monitoring & Data Analyst for our client in Kingston upon Thames. This is a fantastic opportunity for an experienced professional to manage and monitor an Azure-based SaaS solution, ensuring system reliability and an exceptional customer experience. The successful candidate will play a key role in real-time issue detection, incident escalation, and long-term trend analysis. K…",https://www.adzuna.co.uk/jobs/land/ad/5124490759?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=F87A32457F44422FCEFED4D1CEB90A90DF5687DF,70000,70000,2025-04-02T17:12:36Z
Research Data Analyst,UK Research and Innovation,"London, UK","UKRI International Salary: £36,650 per annum Hours: Full time or Part time (minimum 0.8 FTE) Contract: Fixed Term (until 31st March 2027) Location : London - Wellcome Trust Offices (Hybrid working available) Closing Date: Monday 21st April 2025 About UKCDR The UK Collaborative on Development Research (UKCDR) is a shared team working with UK government departments and Wellcome to support global development through the power of research and knowledge. UKCDR undertakes strategic projects that prov…",https://www.adzuna.co.uk/jobs/land/ad/5125780308?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=519B35CC3256382407C83DC2818A2B714E916BDA,43419.02,43419.02,2025-04-03T05:12:06Z
BI Data Analyst,The London Clinic,"London, UK","We have an exciting opportunity for a BI Data Analyst to join our Business Intelligence Team within our IT Directorate here at The London Clinic. This role is based at our head office in Central London with remote working available, and we are offering a competitive inclusive salary. Established in 1932, The London Clinic is one of the UK’s largest private hospitals, with 8 state-of-the-art facilities, and circa 1350 employees where we are dedicated to providing our patients with expert, indivi…",https://www.adzuna.co.uk/jobs/land/ad/5056335989?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=E36A35435E6F47FC20DDF7880CA7345D3A1BC1DE,47672.32,47672.32,2025-02-19T14:24:15Z
"Data Analyst- MS Fabric, Azure, Data Lakes",Hays,"London, UK","Data Analyst- MS Fabric, Azure, Data Lakes Up to £460 per day (Outside IR35) London / Remote 6 months My client is a major IT Consultancy, working with an end client who is looking for a Data Analyst that holds/ is eligible for SC Clearance to work on a critical programme. Key Requirements: Demonstrable experience working as a Data Analyst in an enterprise-scale business Ideally, have an active SC Clearance or be eligible Experience of analysing Data to compare with requirements, identifying ga…",https://www.adzuna.co.uk/jobs/land/ad/5126916738?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=7A68CCA05C95CAB806E5A61E1102F78B586E3CC3,119600,119600,2025-04-03T17:22:35Z
Research Data Analyst,UK Research and Innovation,"London, UK","Research Data Analyst £36,650 per annum Full time or Part Time (minimum 0.8 FTE) Fixed term (Until 31st March 2027) London – Wellcome Trust Offices (Hybrid working available) Closing Date Monday 21st April 2025 Job Overview The UK Collaborative on Development Research (UKCDR) is a shared team working with UK government departments and Wellcome to support global development through the power of research and knowledge. As a Research Data Analyst, you will play a key supporting role in UKCDR’s eff…",https://www.adzuna.co.uk/jobs/land/ad/5125780180?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=ABAC1DD36B77622032F49187B9F57FE93ADB0326,36650,36650,2025-04-03T05:11:58Z
Senior Data Analyst,Code convergence LTD,"London, UK","Job Description: Overall 10 years of experience in working as data analyst within investment banking/ insurance. Familiar with Bloomberg / Statestreet data feeds Experience in understanding the functions and the data elements within Pension, Home insurance, Pet insurance Experience in drafting the reporting requirements with business stakeholders.",https://www.adzuna.co.uk/jobs/details/5100520573?utm_medium=api&utm_source=9b195f40,85000,85000,2025-03-19T07:56:10Z
Senior Data Analyst,Code convergence LTD,"London, UK","Job Description: Overall 10 years of experience in working as data analyst within investment banking/ insurance. Familiar with Bloomberg / Statestreet data feeds Experience in understanding the functions and the data elements within Pension, Home insurance, Pet insurance Experience in drafting the reporting requirements with business stakeholders.",https://www.adzuna.co.uk/jobs/details/5097104932?utm_medium=api&utm_source=9b195f40,85000,85000,2025-03-17T08:51:27Z
Economic and Data Analyst,Bluetownonline,"London, UK","Job Title: Economic and Data Analyst Location: Home based with regular travel to the Office in London Salary: £44,572 - £52,114 per annum, depends on experience Job Type: Full time, Permanent Application Deadline: 12 noon , Wednesday 19th March 2025 This company is seeking an experienced analyst who wants to use their economic and data skills to drive policy change. Data-driven arguments, evidence-based policy and robust costings are at the heart of how we make an impact for our members, and sh…",https://www.adzuna.co.uk/jobs/land/ad/5085518043?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=246EE513DFA2DE3F0183ECF9FD6643D563313C8B,44543.89,44543.89,2025-03-10T18:32:48Z
Data Quality Analyst,Social Value Portal,"Millbank, South West London","Data Quality Analyst – Join a Mission-Led, High-Impact Tech for Good Company We're expanding our data team at Social Value Portal to support increasing demand and we're looking for a Data Quality Analyst who's passionate about detail, accuracy, and social impact. This is a hybrid role based in London (2–3 days a week in our Vauxhall office) and comes with exceptional benefits and the opportunity to work for an organisation creating real change. As a Data Quality Analyst, you'll play a vital rol…",https://www.adzuna.co.uk/jobs/land/ad/5126916683?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=DCDDB548B63EEF5D6811746C8DF519FD3B63735A,35000,35000,2025-04-03T17:22:34Z
Senior Data Analyst - Finance & Treasury,Wise,"London, UK","Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their life easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description Your Mission: At Wise, we’ve g…",https://www.adzuna.co.uk/jobs/land/ad/5051344227?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=C39511D6587D66A6C0792D4D33331CCBA6A61DC7,37916.89,37916.89,2025-02-15T15:28:52Z
Data Analyst,Cedar,"London, UK","Cedar is currently partnered with a private equity-backed telecoms business to secure an Interim Data Analyst, based in The City of London. This is a hybrid contract role offering £400 - £500 per day (Inside IR35), for an initial 3-6 months, with the opportunity to play a pivotal role in system integration and data transformation at a business-critical moment. The CompanyThis PE-backed telecoms business has rapidly scaled to become a major player in the UK fibre broadband space. With a strong p…",https://www.adzuna.co.uk/jobs/land/ad/5116671011?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=0C968361BF0C0672AC9DE5D9F26FDE478B33D75A,104000,130000,2025-03-28T20:28:00Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Woolwich, South East London","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439892?utm_medium=api&utm_source=9b195f40,37301.5,37301.5,2025-03-21T12:02:38Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Cowley, Uxbridge","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439657?utm_medium=api&utm_source=9b195f40,34044.76,34044.76,2025-03-21T12:02:34Z
Senior Data Analyst - London,Third Space,"London, UK","Senior Data Analyst - London Third Space is a collection of luxury health clubs in London; individual in style, bound by a common philosophy: to provide outstanding fitness spaces that members feel are their own. Our people are the creators that bring the space to life. We're a team of motivators, inventors, and coaches; always striving to grow and evolve. It's not just a job, it's a lifestyle. We inspire our members to fulfil their lives and they rely on usand we wouldn't have it any other way…",https://www.adzuna.co.uk/jobs/land/ad/5098575354?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=4283DC741F646D59B99DFAC909263A71B560052C,55000,60000,2025-03-18T10:33:43Z
Data Analyst,WALT Labs,"London, UK","WALT Labs, a leading managed service provider, is dedicated to empowering businesses by harnessing the power of cloud technology. Our team specializes in delivering customized solutions tailored to meet the unique needs of our clients, driving growth and operational efficiency across industries. From supporting small businesses with seamless data migration to enabling large corporations to manage complex infrastructure projects, we provide exceptional service while staying at the forefront of c…",https://www.adzuna.co.uk/jobs/details/5120462087?utm_medium=api&utm_source=9b195f40,30000,45000,2025-03-31T23:55:03Z
Data Analyst,Axle Energy,"London, UK","We generate millions of datapoints each day, and we're hiring our first Data Analyst to help make sense of them. The electricity grid is changing beyond recognition, and without deploying new software to orchestrate it, we’ll be unable to decarbonise. At Axle, we’re building the infrastructure that’ll underpin the decarbonised energy system. Our software crushes CO2 and energy costs. Our goal is insanely ambitious, and we’re building a team to match the scale of this challenge. We’ve just raise…",https://www.adzuna.co.uk/jobs/details/5048955221?utm_medium=api&utm_source=9b195f40,40000,70000,2025-02-13T22:13:59Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Purley, South East London","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439601?utm_medium=api&utm_source=9b195f40,37364.94,37364.94,2025-03-21T12:02:33Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Shortlands, Bromley","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439562?utm_medium=api&utm_source=9b195f40,33226.73,33226.73,2025-03-21T12:02:33Z
Data Analyst,Cedar,"The City, Central London","Cedar is currently partnered with a private equity-backed telecoms business to secure an Interim Data Analyst, based in The City of London. This is a hybrid contract role offering £400 - £500 per day (Inside IR35), for an initial 3-6 months, with the opportunity to play a pivotal role in system integration and data transformation at a business-critical moment. The Company This PE-backed telecoms business has rapidly scaled to become a major player in the UK fibre broadband space. With a strong …",https://www.adzuna.co.uk/jobs/land/ad/5116775070?se=Zkc8gb8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=36CACE86F48C6EACF064902C786ABB1AEE1537FC,104000,130000,2025-03-28T22:02:23Z
Data Analyst,No1 Legal and Professional,"London, UK","Data Analyst Great opportunity to work at a technology firm based in central London Successful candidate will have Advanced Excel skills Data Analyst Assist in gathering, organising, and maintaining datasets from various sources. Conduct exploratory data analysis, summarise key insights, and create reports for internal teams and clients. Create clear and engaging charts, dashboards, and reports using tools like Excel Data Analyst Proficiency in Excel (pivot tables, VLOOKUP, basic formulas). Fam…",https://www.adzuna.co.uk/jobs/details/5087055144?utm_medium=api&utm_source=9b195f40,37911.97,37911.97,2025-03-11T13:36:25Z
Data Analyst,REC SOLUTIONS LIMITED,"The City, Central London","Data Analyst ( Execution, Trading, Exchange, Financial Services, Python, Pandas) Offering Remote working An excellent role has arisen for an Data Analyst to join a well-established exchange based in London, City. Ideally we seek candidates who have experience using Python (Pandas). My clients culture is one of trust, openness, and excellence. They work in a collaborative style and take collective responsibility for successes and failures. My clients values - Data Analyst(Execution, Trading, Exc…",https://www.adzuna.co.uk/jobs/details/5062511950?utm_medium=api&utm_source=9b195f40,40000,40000,2025-02-25T01:33:29Z
Data Analyst,Marks Sattin,"London, UK","Are you an experienced Data Analyst looking to further your career? Then this is the opportunity for you You will be working with an enthusiastic team in the heart of London, managing and analyzing all of activity data, reporting business intelligence, and more KEY RESPONSIBILITIES The Data Analyst will support weekly and monthly reporting cycle Design and maintain a range of activity and quality metrics Manage monthly submissions to commissioners and regulatory bodies Develop and maintain a su…",https://www.adzuna.co.uk/jobs/details/5126248630?utm_medium=api&utm_source=9b195f40,33000,43000,2025-04-03T13:45:12Z
