title,company,location,description,redirect_url,salary_min,salary_max,created
Loans Administrator and Data Analyst,BNY,"Manchester, Greater Manchester","Job Description At BNY, our culture empowers you to grow and succeed. As a leading global financial services company at the center of the world's financial system we touch nearly 20% of the world's investible assets. Every day around the globe, our 50,000 employees bring the power of their perspective to the table to create solutions with our clients that benefit businesses, communities and people everywhere. We continue to be a leader in the industry, awarded as a top home for innovators and f…",https://www.adzuna.co.uk/jobs/land/ad/5124340965?se=EGtAh78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=57D21F266B489C0B68ADF0BFFF364088B59AFD16,29195.02,29195.02,2025-04-02T15:58:29Z
Data Analyst,Queen Square Recruitment Ltd,"Rusholme, Manchester","Data Analyst – Transport Modelling & Analytics Our client, a leader in Rail, Logistics and International connectivity firm, is seeking a Data Analyst to join their transport modelling and analysis team in Manchester. This role supports the development of cutting-edge transport analytics, modelling, and economic appraisal to enhance decision-making for transport projects across the North. Key Responsibilities:  Assist in transport modelling, economic appraisal, and analytics.  Support technical …",https://www.adzuna.co.uk/jobs/land/ad/5109417700?se=EGtAh78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=BF27FE43698B4D886711F0C8806A44E75603E07E,33383.89,33383.89,2025-03-24T23:12:10Z
Data Analyst,Cathcart Technology,"Rusholme, Manchester","About the Role: Flexible across the North of England | Hybrid working with regular Manchester office visits Permanent Position Up to £40K depending on experience We are working with a leading organisation that offers an exciting opportunity for an experienced Data Analyst to join their growing team. This role is ideal for someone with strong analytical capabilities, looking to apply their skills in a challenging and dynamic environment. You will play a crucial role in providing valuable insight…",https://www.adzuna.co.uk/jobs/land/ad/5109417778?se=EGtAh78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=2D95808CE3E200BD8551B18DC6CD1F9384380901,34000,40000,2025-03-24T23:12:19Z
Data Analyst,KOMI Group,"Collyhurst, Manchester","Mission: We’re building the most engaged digital audiences in the world. The Role KOMI Group is looking for a Data Analyst to work on a variety of exciting data projects in the social media market. Reporting to the CFO, you will play a key role in delivering value to the business by helping us leverage data effectively. As a Data Analyst, you will support project delivery, assist in managing external stakeholder relationships, and perform high-quality technical work. The successful candidate wi…",https://www.adzuna.co.uk/jobs/details/5113089478?utm_medium=api&utm_source=9b195f40,36221.84,36221.84,2025-03-27T05:56:34Z
Data Analyst,KOMI Group,"Manchester, Greater Manchester","Mission: We’re building the most engaged digital audiences in the world. The Role KOMI Group is looking for a Data Analyst to work on a variety of exciting data projects in the social media market. Reporting to the CFO, you will play a key role in delivering value to the business by helping us leverage data effectively. As a Data Analyst, you will support project delivery, assist in managing external stakeholder relationships, and perform high-quality technical work. The successful candidate wi…",https://www.adzuna.co.uk/jobs/details/5114644429?utm_medium=api&utm_source=9b195f40,36900.83,36900.83,2025-03-27T23:17:50Z
Data Analyst,Cathcart Technology,"Manchester, Greater Manchester","About the Role: Flexible across the North of England | Hybrid working with regular Manchester office visits Permanent Position Up to £40K depending on experience We are working with a leading organisation that offers an exciting opportunity for an experienced Data Analyst to join their growing team. This role is ideal for someone with strong analytical capabilities, looking to apply their skills in a challenging and dynamic environment. You will play a crucial role in providing valuable insight…",https://www.adzuna.co.uk/jobs/details/5109337955?utm_medium=api&utm_source=9b195f40,34000,40000,2025-03-24T20:27:14Z
Data Analyst,On the Beach,"Manchester, Greater Manchester","Who we are ¡Hola We’re On the Beach. There’s over 600 of us, mostly at home, and sometimes in our office in Manchester. We send nearly two million people on holiday every year (not together) and we’re expecting to get to three million pretty sharpish. Why? Because we’re the only holiday company who truly gets why going on your jollies is the most wonderful time of the year. With our market-leading offers, scalable, flexible and innovative technology, strong customer-value proposition and low-co…",https://www.adzuna.co.uk/jobs/details/5069078953?utm_medium=api&utm_source=9b195f40,32977.84,32977.84,2025-03-01T16:47:17Z
Graduate Data Analyst,Bouygues Energies & Services Contracting,"Withington, Manchester","Bouygues Energies & Services is recruiting a Graduate Data Analyst to work in a small team based in Manchester. The Graduate Data Analyst will play a key role in supporting business operations by analysing data, improving processes and assisting in strategic decision making. The role will work closely with stakeholders in different departments, gaining valuable experience and exposure to real work business challenges in an engineering and construction environment. The Role The successful candid…",https://www.adzuna.co.uk/jobs/land/ad/5079902717?se=EGtAh78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=7E77D6598BBC6F0353B08A7F9CD6D9CF44B1A4BF,32488.31,32488.31,2025-03-06T20:23:41Z
Data Analyst Trainee,ITOL Recruitment,"Manchester, Greater Manchester","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5122865032?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-01T21:20:29Z
Trainee Data Analyst,Elite Hiring Ltd T/A Elite Hiring Solution,"Manchester, Greater Manchester","Our client is a leading IT solutions provider, dedicated to harnessing the power of data to drive innovation and operational efficiency. Known for their cutting-edge technology solutions and data-driven strategies, they are now seeking an enthusiastic Trainee Data Analyst to join their vibrant team. Job Description: As a Trainee Data Analyst, you will embark on a journey to understand the intricacies of data analysis within the tech industry. You will work closely with senior data analysts and …",https://www.adzuna.co.uk/jobs/details/5123698146?utm_medium=api&utm_source=9b195f40,30000,30000,2025-04-02T07:43:01Z
