title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst Apprenticeship,Baltic Apprenticeships,"Benwell, Newcastle Upon Tyne","Dive into a Data-Driven Career with Jellyfish Energy Jellyfish Energy, a pioneering force in sustainable energy solutions, is looking for a Junior Data Analyst Apprentice to join their dynamic team. This is a fantastic opportunity to gain hands-on experience in data analysis while working towards your Junior Data Analyst Level 3 qualification , supported by expert training from Baltic Apprenticeships . As a company committed to reducing carbon footprints through cutting-edge technology, Jellyfi…",https://www.adzuna.co.uk/jobs/land/ad/5097955147?se=4kiHkL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=184B02272210BD72220CCDF2E80D403E33BB3C0F,16000,16000,2025-03-17T23:27:02Z
Data Analyst Apprenticeship,Baltic Apprenticeships,"Benwell, Newcastle Upon Tyne","Kickstart Your Data Career with Green Energy Consulting Green Energy Consulting, a leading consultancy dedicated to driving sustainable energy solutions, is offering an exciting Data Apprentice opportunity. As part of our team, youll gain hands-on experience in data analysis and work towards your Level 3 Data Analyst qualification , with expert guidance from Baltic Apprenticeships . Our mission is to help businesses achieve energy efficiency and sustainability , and as a Data Apprentice, youll …",https://www.adzuna.co.uk/jobs/land/ad/5108893549?se=4kiHkL8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=0BFA38F34170000A70C3B4A60F675FE3FB7BFE66,16000,16000,2025-03-24T15:55:30Z
Data Analyst,NHS Counter Fraud Authority,"Spital Tongues, Newcastle Upon Tyne","Job summary The NHS Counter Fraud Authority is the national body responsible for all matters relating to the prevention, detection and investigation of economic crime across the NHS. Further information about our work and annual plan for delivering this is available on our website. Our new team are embarking on a piece of work to monitor data to identify and respond to patterns indicative of potential fraud. This will support our current work that reduces the likelihood of fraud occurring. We w…",https://www.adzuna.co.uk/jobs/details/5117011311?utm_medium=api&utm_source=9b195f40,29970,36483,2025-03-29T00:21:28Z
Data Analyst Developer,Infotel UK,"Newcastle Upon Tyne, Tyne & Wear",Role: Data Analyst / Developer Company: Infotel UK Location: Newcastle Upon Tyne Full-time permanent position Infotel UK is a thriving consulting company driven by our desire for innovation. We work with companies worldwide to improve their business output through strategic IT systems and applications. We offer a fantastic opportunity in a thriving and challenging environment to further your development and analytical skills alongside other passionate IT professionals. The role We are seeking a…,https://www.adzuna.co.uk/jobs/details/4962267576?utm_medium=api&utm_source=9b195f40,35757.32,35757.32,2024-12-04T09:34:35Z
Data Analyst Trainee,ITOL Recruitment,"Newcastle Upon Tyne, Tyne & Wear","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5126249816?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-03T13:45:59Z
Data Analyst Apprenticeship,Baltic Apprenticeships,"Newcastle Upon Tyne, Tyne & Wear","Dive into a Data-Driven Career with Jellyfish Energy Jellyfish Energy, a pioneering force in sustainable energy solutions, is looking for a Junior Data Analyst Apprentice to join their dynamic team. This is a fantastic opportunity to gain hands-on experience in data analysis while working towards your Junior Data Analyst Level 3 qualification , supported by expert training from Baltic Apprenticeships . As a company committed to reducing carbon footprints through cutting-edge technology, Jellyfi…",https://www.adzuna.co.uk/jobs/details/5098037804?utm_medium=api&utm_source=9b195f40,16000,16000,2025-03-18T01:26:53Z
Data Analyst Apprenticeship,Baltic Apprenticeships,"Newcastle Upon Tyne, Tyne & Wear","Kickstart Your Data Career with Green Energy Consulting Green Energy Consulting, a leading consultancy dedicated to driving sustainable energy solutions, is offering an exciting Data Apprentice opportunity. As part of our team, youll gain hands-on experience in data analysis and work towards your Level 3 Data Analyst qualification , with expert guidance from Baltic Apprenticeships . Our mission is to help businesses achieve energy efficiency and sustainability , and as a Data Apprentice, youll …",https://www.adzuna.co.uk/jobs/details/5110209391?utm_medium=api&utm_source=9b195f40,16000,16000,2025-03-25T13:10:50Z
Data Analyst Placement Programme,ITonlinelearning,"Newcastle Upon Tyne, Tyne & Wear","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943037020?utm_medium=api&utm_source=9b195f40,36055.27,36055.27,2024-11-18T17:56:02Z
Senior Business Data Analyst,Health Research Authority,"Spital Tongues, Newcastle Upon Tyne","Job summary The business data analyst is part of a highly successful team working within the HRA digital directorate, responsible for developing, delivering, and supporting complex solutions within the HRA's portfolio of national information systems for health research. This includes the Research Systems programme, a major programme to build a new integrated research application and workflow system and to achieve the successful migration and eventual closure of current systems (IRAS and HARP). …",https://www.adzuna.co.uk/jobs/details/5120304357?utm_medium=api&utm_source=9b195f40,46148,52809,2025-03-31T19:35:26Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Shieldfield, Newcastle Upon Tyne","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439732?utm_medium=api&utm_source=9b195f40,31385.59,31385.59,2025-03-21T12:02:35Z
