title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,Adria Solutions Ltd,"Bestwood Village, Nottingham","Data Analyst – Fully Remote – Financial & Technology Sectors My client is looking for a Data Analyst to join their team and support data-driven decision-making across Technology, Finance, Operations, and Product. This role is perfect for a self-motivated, analytical thinker who enjoys solving business challenges with data. Key Responsibilities: Reporting & Data Automation Develop and maintain automated reports and dashboards to support business functions Ensure accuracy and consistency in data …",https://www.adzuna.co.uk/jobs/land/ad/5099715689?se=5geek78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=3979850B65627FFB09F848B6FDF175EE972E0479,35000,50000,2025-03-18T20:40:10Z
Data Analyst,Adria Solutions,"Nottingham, Nottinghamshire","Data Analyst – Fully Remote – Financial & Technology Sectors My client is looking for a Data Analyst to join their team and support data-driven decision-making across Technology, Finance, Operations, and Product. This role is perfect for a self-motivated, analytical thinker who enjoys solving business challenges with data. Key Responsibilities: Reporting & Data Automation Develop and maintain automated reports and dashboards to support business functions Ensure accuracy and consistency in data …",https://www.adzuna.co.uk/jobs/details/5099615539?utm_medium=api&utm_source=9b195f40,35000,50000,2025-03-18T20:11:08Z
Data Analyst,Dynamix Recruitment ltd,"Bestwood Village, Nottingham","Position: Analyst Programmer Reports to: IT and Systems Manager Responsible for: Design, development, testing, and implementation of Unidata and Pick systems Main Responsibilities:  Maintain confidentiality of company information at all times.  Develop Unidata and D3 Pick-based systems proactively to support operational needs.  Support and maintain existing systems effectively.  Enhance the efficiency and performance of IT functions, ensuring the integrity of company systems.  Collaborate with …",https://www.adzuna.co.uk/jobs/land/ad/5081695027?se=5geek78Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=A67983332BDD519E3EC7B37F49814186CACD8928,40000,45000,2025-03-07T20:35:57Z
Data Analyst,Dynamix Recruitment Limited,"Nottingham, Nottinghamshire","Position: Analyst Programmer Reports to: IT and Systems Manager Responsible for: Design, development, testing, and implementation of Unidata and Pick systems Main Responsibilities: Maintain confidentiality of company information at all times. Develop Unidata and D3 Pick-based systems proactively to support operational needs. Support and maintain existing systems effectively. Enhance the efficiency and performance of IT functions, ensuring the integrity of company systems. Collaborate with inter…",https://www.adzuna.co.uk/jobs/details/5087054839?utm_medium=api&utm_source=9b195f40,40000,45000,2025-03-11T13:36:22Z
Data Analyst Trainee,ITOL Recruitment,"Nottingham, Nottinghamshire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5108911251?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-24T16:25:41Z
BI Data Analyst,Supply Chain Solutions - Nottingham,"Awsworth, Nottingham","We are looking for a BI Data Analyst to join our Huws Gray Supply Chain Solutions team in Nottingham If you’re in the trade or have ever tackled a home improvement project, you’ve probably heard of us. We’re the Huws Gray Group and we’re made up of a number of brands, including Huws Gray, Hirebase, Civils & Lintels, The Timber Group, PDM, NDI and Anglia Tool Centre to name a few. Up and down the UK, our branches are serving and supporting our local communities with all their building material n…",https://www.adzuna.co.uk/jobs/details/5116084490?utm_medium=api&utm_source=9b195f40,35648.64,35648.64,2025-03-28T16:20:37Z
Trainee Data Analyst,Elite Hiring Solution,"Nottingham, Nottinghamshire","We are seeking a motivated and analytically minded Trainee Data Analyst to join our dynamic team. This entry-level position is perfect for recent graduates or individuals with a strong interest in data analysis who are looking to kickstart their career in a supportive and progressive environment. Responsibilities: Assist in the collection, analysis, and interpretation of data from various sources. Support senior analysts in managing data sets and creating reports for internal use. Learn and app…",https://www.adzuna.co.uk/jobs/details/5122867228?utm_medium=api&utm_source=9b195f40,28000,32000,2025-04-01T21:21:50Z
Data Analyst Placement Programme,ITonlinelearning,"Bestwood Village, Nottingham","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943034281?utm_medium=api&utm_source=9b195f40,37768.06,37768.06,2024-11-18T17:54:15Z
Commercial Data Analyst Apprentice,"International Shipbreaking Limited, LLC","Nottingham, Nottinghamshire","Package Description Bonus scheme Cycle to work scheme 25 days annual leave plus bank holidays, plus each year you will have the option to buy and sell leave Enhanced maternity and paternity leave Wellbeing Scheme, provided through Health Shield, giving every colleague – and their dependents – unlimited access to GPs and counselling, as well as cash back on a wide range of health and wellbeing treatment Employee Support to include Life Assurance and critical illness pay 24/7 Colleague Assistance…",https://www.adzuna.co.uk/jobs/details/5079520226?utm_medium=api&utm_source=9b195f40,29197.86,29197.86,2025-03-06T19:14:55Z
Senior Business Data Analyst,Health Research Authority,"Sneinton, Nottingham","Job summary The business data analyst is part of a highly successful team working within the HRA digital directorate, responsible for developing, delivering, and supporting complex solutions within the HRA's portfolio of national information systems for health research. This includes the Research Systems programme, a major programme to build a new integrated research application and workflow system and to achieve the successful migration and eventual closure of current systems (IRAS and HARP). …",https://www.adzuna.co.uk/jobs/details/5120304374?utm_medium=api&utm_source=9b195f40,46148,52809,2025-03-31T19:35:29Z
