title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Data Analyst,KBS Maritime Ltd,"Hilsea, Portsmouth","Job Title: Senior Data Analyst Location: Portsmouth (HM Naval Base) Service Area: IM&T, Business Support Hours of Work: Permanent Contract, Full time What You’ll be doing: We are seeking a highly skilled and detail-orientated Senior Data Analyst to join our Analytics team. The ideal candidate will have extensive experience in data analysis (descriptive, predictive, forecasting) and visualisation, as well as expertise in leveraging Microsoft Fabric to transform raw data into actionable insights.…",https://www.adzuna.co.uk/jobs/land/ad/5108955261?se=BmT_l78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=2F9490A68A21FFDD14344A845D3A37D07D2A6AD1,48000,55000,2025-03-24T17:19:31Z
Data Analyst Trainee,ITOL Recruitment,"Portsmouth, Hampshire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5124496940?utm_medium=api&utm_source=9b195f40,30000,50000,2025-04-02T17:21:43Z
Data Analyst Placement Programme,ITonlinelearning,"Hilsea, Portsmouth","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943034565?utm_medium=api&utm_source=9b195f40,39416.76,39416.76,2024-11-18T17:54:17Z
IT Investigations Data Analyst,SGN,"Portsmouth, Hampshire","We are looking for…. We are seeking a passionate and innovative Data Analyst to join our IT Investigations Team. This role is ideal for a detail-oriented individual with a background in data Analysis and analytics, problem-solving, and technical expertise across various data tools and techniques who wants to develop further in their career. We deliver safety, warmth, and comfort to homes and businesses across the community. Whether you're supporting from the office or working on the front line,…",https://www.adzuna.co.uk/jobs/details/5116079714?utm_medium=api&utm_source=9b195f40,43000,53800,2025-03-28T16:06:52Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"H M Naval Base, Portsmouth","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439671?utm_medium=api&utm_source=9b195f40,36554.63,36554.63,2025-03-21T12:02:34Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"H M Naval Base, Portsmouth","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439815?utm_medium=api&utm_source=9b195f40,36628.51,36628.51,2025-03-21T12:02:36Z
Data Insights Analyst,Tria,"Hilsea, Portsmouth","Data Insights Analyst £45,000 - £55,000 Hybrid - 2x per week in Portsmouth We are representing a large company operating across Scotland and the south of England, that concentrates on the maintenance and upgrade of critical infrastructure to ensure reliable energy supply. They are looking for an Data Insights Analyst to join their dynamic team. As the Data Insights Analyst, you will support the existing portfolio of data & analytics services, as well as work on a range of projects to develop ne…",https://www.adzuna.co.uk/jobs/land/ad/5105715476?se=BmT_l78Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=77DF1D5C62EF120789E8CDE79F8A39C566D1923B,45000,55000,2025-03-22T04:59:08Z
Data Science Trainee,ITOL Recruitment,"Portsmouth, Hampshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5097709465?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-17T19:54:49Z
Data Analytics - Skills Bootcamp for Employability,targetjobs Hired,"Portsmouth, Hampshire","This is a great FREE bootcamp for young people, looking to help get onto the career ladder and look at a data analytics role Skills around collecting, sorting and analysing data have never been in greater demand - the average salary for a data analyst in the UK is £55,000 (Talent.com). .  Whether you're just starting your career, or you're hoping to change career paths, learning data analytics skills can be the key to unlocking new and rewarding career opportunities. A great way to achieve this…",https://www.adzuna.co.uk/jobs/details/4999857792?utm_medium=api&utm_source=9b195f40,24969.11,24969.11,2025-01-06T17:16:50Z
Trainee Business Consultant,ITonlinelearning Recruitment,"Portsmouth, Hampshire","Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a Business Consultant is an ideal fit for you. Dema…",https://www.adzuna.co.uk/jobs/details/5087465490?utm_medium=api&utm_source=9b195f40,26000,39000,2025-03-11T17:26:41Z
