title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,UniHomes,"Sheffield, South Yorkshire","Data Analyst Sheffield City Centre, UK (fully office-based) Salary: £DOE This is a hugely exciting opportunity to join as the third member of UniHomes’ newly formed Data & Analytics team and play a pivotal role in establishing our centralised database and BI reporting. You’ll support stakeholders across our Sales, Marketing and Product teams with your commercially astute analysis, recommendations, and project management. This position is ideal for someone who enjoys working with multiple stakeh…",https://www.adzuna.co.uk/jobs/details/5018577558?utm_medium=api&utm_source=9b195f40,34679.07,34679.07,2025-01-21T15:22:49Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Norton, Sheffield","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439489?utm_medium=api&utm_source=9b195f40,32227.46,32227.46,2025-03-21T12:02:31Z
Data Analyst,Harnham - Data & Analytics Recruitment,"Sheffield, South Yorkshire","Data Analyst Up to £47,000 On site - Sheffield THE COMPANY We have partnered with an exciting retail organisation to find a Data Analyst to join the team in Sheffield. THE ROLE We are looking for a technically strong data analyst, who has experience writing SQL scripts, building tables and has a commercially savvy mindset. YOUR SKILLS AND EXPERIENCE SQL - writing scripts.Strong commercial engagement skills. APPLY Apply below or drop me an email to register your interest.",https://www.adzuna.co.uk/jobs/details/5092168892?utm_medium=api&utm_source=9b195f40,40000,47000,2025-03-13T21:42:55Z
Data Analyst,Harnham - Data & Analytics Recruitment,"Sheffield, South Yorkshire","Data AnalystSheffield (5x days in office) Up to £46,000 An incredible opportunity to join a leading company in the property rental sector as a Data Analyst. THE COMPANY One of UK's leading companies in the property rental world is seeking a Data Analyst to scale up their data function. If you are ready to make a huge impact and build from scratch, this role is for you. THE ROLE As a Data Analyst, you'll be building the function from the ground up, utilising SQL to set up pipelines from their da…",https://www.adzuna.co.uk/jobs/details/5092390165?utm_medium=api&utm_source=9b195f40,40000,46000,2025-03-14T01:43:23Z
Data Analyst,Harnham - Data & Analytics Recruitment,"Sheffield, South Yorkshire","Data Analyst - Sheffield Onsite We are working with a fast growing company who are looking to add a Data Analyst to their team. The team is small and very greenfield and need an analyst with very strong commercial acumen as well as strong skills in SQL, Data Visualisation and data pipelines. The role is a really exciting opportunity for fast growth, with the scaleup nature of the team and exposure to stakeholders. Requirements: Strong SQL experience, SQL Script Data Visualisation experience; Ta…",https://www.adzuna.co.uk/jobs/details/5092170064?utm_medium=api&utm_source=9b195f40,42000,46000,2025-03-13T21:44:23Z
Trainee Data Analyst,Alfred Rennox,"Heeley, Sheffield","Our client, a prominent IT and tech industry leader, is seeking a detail-oriented and ambitious Trainee Data Analyst. If you're eager to develop hands-on data skills while working with industry experts, this is the perfect role for you. Role Overview You will support data collection, analysis, and reporting efforts to drive business decisions. Working alongside senior analysts, you will gain valuable experience in interpreting data and creating visual insights. Key Responsibilities  Assist in c…",https://www.adzuna.co.uk/jobs/land/ad/5097470321?se=MpaDkr8Q8BGsyQr5bSZXLA&utm_medium=api&utm_source=9b195f40&v=8701843997A615E457C3623ABAEFC798C3FD1235,27000,33000,2025-03-17T14:36:26Z
Data Analyst Placement Programme,ITonlinelearning,"Heeley, Sheffield","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943032137?utm_medium=api&utm_source=9b195f40,40917.46,40917.46,2024-11-18T17:52:33Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Norton, Sheffield","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439880?utm_medium=api&utm_source=9b195f40,32162.4,32162.4,2025-03-21T12:02:37Z
BI Level 2 Data Analyst,British Business Bank,"Sheffield, South Yorkshire","BI Level 2 Data Analyst Location: Sheffield / Hybrid Working (Expectation that you will attend an office 3 days per week during probation reducing to 2 days following probation) Contract: Permanent Hours: Full time 37.5 hours per week/flexible days and/or hours (Mon-Fri) Salary: £30,000 - £35,000 Depending on Experience Please note that any same band and job family internal moves will not present any pay increase Key Benefits Click here for a complete list of benefits 30 days annual leave plus …",https://www.adzuna.co.uk/jobs/details/5103586699?utm_medium=api&utm_source=9b195f40,38872.56,38872.56,2025-03-20T23:07:48Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Heeley, Sheffield","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013044?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
