title,company,location,description,redirect_url,salary_min,salary_max,created
Data Protection Analyst,Carey Olsen Group Services Limited,"Ocean Village, Southampton","We are seeking a Data Protection Analyst to take responsibility for ensuring adequate oversight of data, governance and ensuring the firm remains compliant with internal policies and the data protection regulations that apply across the Carey Olsen Group, and to carry out data protection related tasks as directed by the Information Risk Analyst or Group CISO. This role can be based in one of our Guernsey, Jersey or Southampton offices. Principal duties Assist with the coordination of the Group'…",https://www.adzuna.co.uk/jobs/land/ad/5075946861?se=vpXulr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=4D4FE7BB9A6F4779B8F2B4EF4F1ADC839B10CE2C,32764.74,32764.74,2025-03-05T02:14:15Z
Senior Aviation Data Analyst,NATS,"Southampton, Hampshire","NATS is the UK's leading air navigation service provider, handling over 2.4 million flights each year. We provide air traffic control services from two control centres and at airports around the UK. We also provide a wide range of commercial products and solutions internationally. Our people are at the heart of our purpose to advance aviation and keep the skies safe. This is a pivotal role to ensure the effective management of aviation data through AIM software applications on a day-to-day basi…",https://www.adzuna.co.uk/jobs/land/ad/5126880362?se=vpXulr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=ABCF6F7D97F4D9F04E7C3E78764B346C847A50CD,69690.96,69690.96,2025-04-03T17:17:15Z
Data Analyst,Zenergi,"Chilworth Science Park, Chilworth","Application Deadline April 30, 2025 Department Information Technology Employment Type Permanent - Full Time Location Southampton Workplace type Hybrid Compensation £30,000 - £35,000 / year Reporting To Richard Coshott Key Responsibilities Skills, Knowledge and Expertise About Zenergi Zenergi, are a utilities & environmental consultancy aiming to make a positive difference in the world of energy in a simple, sustainable & achievable manner. One that can help cut through the confusion, free you f…",https://www.adzuna.co.uk/jobs/details/5121205382?utm_medium=api&utm_source=9b195f40,30000,35000,2025-04-01T10:59:18Z
Data Analyst Trainee,ITOL Recruitment,"Southampton, Hampshire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5104899077?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-21T16:20:58Z
Data Analyst Placement Programme,ITonlinelearning,"Ocean Village, Southampton","Please note this is a training course and fees apply Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed fo…",https://www.adzuna.co.uk/jobs/details/4943031725?utm_medium=api&utm_source=9b195f40,36612.69,36612.69,2024-11-18T17:52:31Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Ocean Village, Southampton","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439724?utm_medium=api&utm_source=9b195f40,32527,32527,2025-03-21T12:02:35Z
Data Protection Analyst,VIQU Limited,"Ocean Village, Southampton","Data Protection Analyst Competitive Salary Southampton/Hybrid VIQU have partnered with a leading professional services company in Southampton who are looking to expand their data teams. The ideal candidate must hold previous experience with data protection and risk projects, and have experience with reviewing and supporting data protection impact assessments. The candidate will be responsible for oversight of data governance, ensuring compliance with data protection regulations. Job duties of t…",https://www.adzuna.co.uk/jobs/land/ad/5116671040?se=vpXulr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=A54E9406164FF5DD18DA5CD0912274909973245A,32631.27,32631.27,2025-03-28T20:28:02Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Ocean Village, Southampton","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439796?utm_medium=api&utm_source=9b195f40,32592.83,32592.83,2025-03-21T12:02:36Z
Trainee Data Analyst (Career Accelerator with Employment Guarantee),Nuyew Tech Academy,"Ocean Village, Southampton","Are you passionate about uncovering insights from data and driving informed decision-making? Are you looking for a structured training program that can kickstart your career in data analysis? At Nuyew Tech Academy, we specialise in providing aspiring tech professionals like you with the tools, training, and support needed to launch successful careers in this vital industry. Whether you're starting from scratch or looking to advance your existing skills, our academy offers a comprehensive progra…",https://www.adzuna.co.uk/jobs/details/4986013049?utm_medium=api&utm_source=9b195f40,35000,35000,2024-12-22T02:50:22Z
Data Protection Analyst,LR Legal Recruitment,"Ocean Village, Southampton","Data Protection Analyst Competitive Salary Southampton (SO14) Full-time, Hybrid A well-established law firm is seeking a Data Protection Analyst to ensure compliance with data protection regulations across the business. This role involves coordinating data protection activities, analysing data processes for risks, monitoring compliance, and supporting policy implementation. You will act as the first point of contact for data breaches, assist with impact assessments, and maintain accurate record…",https://www.adzuna.co.uk/jobs/land/ad/5091662898?se=vpXulr8Q8BGvcpUxT3cHCQ&utm_medium=api&utm_source=9b195f40&v=6238EADDE75F0033BE514B6FC6AAE69B57F3E992,40776.68,40776.68,2025-03-13T16:16:25Z
Data Protection Analyst,VIQU Limited,"Southampton, Hampshire","Data Protection Analyst Competitive Salary Southampton/Hybrid VIQU have partnered with a leading professional services company in Southampton who are looking to expand their data teams. The ideal candidate must hold previous experience with data protection and risk projects, and have experience with reviewing and supporting data protection impact assessments. The candidate will be responsible for oversight of data governance, ensuring compliance with data protection regulations. Job duties of t…",https://www.adzuna.co.uk/jobs/details/5117055542?utm_medium=api&utm_source=9b195f40,31509.96,31509.96,2025-03-29T01:27:24Z
Data Protection Analyst,Carey Olsen Group Services Limited,"Southampton, Hampshire","We are seeking a Data Protection Analyst to take responsibility for ensuring adequate oversight of data, governance and ensuring the firm remains compliant with internal policies and the data protection regulations that apply across the Carey Olsen Group, and to carry out data protection related tasks as directed by the Information Risk Analyst or Group CISO. This role can be based in one of our Guernsey, Jersey or Southampton offices. Principal duties Assist with the coordination of the Group'…",https://www.adzuna.co.uk/jobs/details/5075805641?utm_medium=api&utm_source=9b195f40,32378.26,32378.26,2025-03-04T23:51:31Z
Data Protection Analyst (VA473),Carey Olsen,"Southampton, Hampshire","We are seeking a Data Protection Analyst to take responsibility for ensuring adequate oversight of data, governance and ensuring the firm remains compliant with internal policies and the data protection regulations that apply across the Carey Olsen Group, and to carry out data protection related tasks as directed by the Information Risk Analyst or Group CISO. This role can be based in one of our Guernsey, Jersey or Southampton offices. Principal duties Assist with the coordination of the Group'…",https://www.adzuna.co.uk/jobs/details/5064582803?utm_medium=api&utm_source=9b195f40,30815.04,30815.04,2025-02-26T16:41:53Z
