title,company,location,description,redirect_url,salary_min,salary_max,created
Data Analyst,Castle Employment,"Pocklington, York","A fantastic opportunity has arisen for a Data Analyst to join a business in Pocklington. In this key role, you will be responsible for capturing, analysing, and reporting data to optimise supply chain efficiency, biological asset management, and commercial decision-making. This position offers the chance to provide valuable insights that drive business performance and strategic growth. The Role Reporting to the Head of Optimisation, the Data Analyst will generate data-driven insights to enhance…",https://www.adzuna.co.uk/jobs/land/ad/5097830076?se=VqgKmb8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=6C62BA4C557F726B1187D7EAA3AB9D8DCF39E035,35000,40000,2025-03-17T20:35:29Z
Data Analyst,Pavers Ltd,"Knapton, York","A fantastic opportunity has arisen for a Data Analyst to join the Pavers Head Office Team at Northminster Business Park, York. This role sits in our Data Team as a result of internal progression of a colleague. This role is offered as a full-time permanent opportunity in a growing business where you are encouraged to develop your skills in a supportive environment. Our Data Engineering &amp; Analytics Team have a key role to play in the business&rsquo;s operations, and as a Data Analyst, you wi…",https://www.adzuna.co.uk/jobs/details/5117948250?utm_medium=api&utm_source=9b195f40,0,40000,2025-03-29T15:22:15Z
Data Analyst Trainee,ITOL Recruitment,"York, North Yorkshire","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/details/5092176931?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-13T21:51:13Z
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"Holgate, York","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439693?utm_medium=api&utm_source=9b195f40,38962.86,38962.86,2025-03-21T12:02:34Z
Data Analyst Placement Programme (Hiring Immediately),ITonlinelearning Recruitment,"Holgate, York","Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439814?utm_medium=api&utm_source=9b195f40,39041.75,39041.75,2025-03-21T12:02:36Z
Junior Data Consultant,Sparta Global Limited,"York, North Yorkshire","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/land/ad/5121846303?se=VqgKmb8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=FB007BA93281FC0D647F2CA9DB7C411183F91078,24000,24000,2025-04-01T17:45:17Z
Data Science Trainee,ITOL Recruitment,"York, North Yorkshire","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/details/5087466182?utm_medium=api&utm_source=9b195f40,30000,50000,2025-03-11T17:26:48Z
Trainee Business Consultant,ITOL Recruitment,"York, North Yorkshire","Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a Business Consultant is an ideal fit for you. Dema…",https://www.adzuna.co.uk/jobs/details/5090059999?utm_medium=api&utm_source=9b195f40,26000,39000,2025-03-12T21:33:22Z
Data Administrator,Castle Employment,"Pocklington, York","We’re on the lookout for a detail-obsessed Data Administrator to join a fast-paced business near Pocklington that’s all about quality, precision, and innovation. If you thrive on keeping information accurate, supporting key teams, and making systems run like clockwork, then this is your chance to be part of something special This is a fantastic opportunity in a newly created role for someone with admin and data entry experience who’s happy to start with some hands-on, detailed data work before …",https://www.adzuna.co.uk/jobs/land/ad/5116772967?se=VqgKmb8Q8BGcNnilB7aCew&utm_medium=api&utm_source=9b195f40&v=4ED606B0948BEFB8EAA549BCF7C3FF3B062ED5CB,30000,30000,2025-03-28T21:55:39Z
BI Analyst,Portakabin Ltd,"Huntington, York","Role: BI Analyst Salary: £35,000k - £46,000k  Yearly Bonus Location: York We have an exciting opportunity for a target driven BI Analyst to join our successful, supportive team at our international head office in York. This is an exciting position that will enhance and develop your skills, knowledge and career. This role will report into the BI Lead who will provide support, training and be your mentor to develop into this fantastic career opportunity. The BI Analyst will work collaboratively w…",https://www.adzuna.co.uk/jobs/details/5079955345?utm_medium=api&utm_source=9b195f40,30000,46000,2025-03-06T22:36:03Z
