title,company,location,latitude,longitude,description,salary_min,salary_max,redirect_url,created,search_query,search_location,source,date_downloaded,job_level,company_id,location_id,job_level_id
Production Analyst,Bloomberg,London,51.5074456,-0.1277653,"Bloomberg runs on data. Our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Data, we are responsible for delivering this data, news and analytics through innovative technology - quickly and accurately. We apply problem-solving skills to identify innovative workflow efficiencies, and we implement technology solutions to enhance our sy... ",,,https://www.reed.co.uk/jobs/production-analyst/54998685,2025-05-14,data analyst,England,reed,2025-05-14 19:28:54,Mid-level,178.0,26,1
Senior BI Analyst,Robert Walters,Birmingham,52.4796992,-1.9026911,"Senior BI Analyst Birmingham (hybrid) 45,000 to 50,000 per annum Permanent We are pleased to be recruiting for a Senior BI Analyst in the Birmingham area. You will be responsible for the development of dashboards, reports and provision of actionable insights. This role will suit someone who is strong within Power BI, SQL, Excel and Python. Senior BI Analyst - What will you be doing? * Leading the design and delivery of dashboards and forecasting... ",,,https://www.reed.co.uk/jobs/senior-bi-analyst/54993389,2025-05-14,data analyst,England,reed,2025-05-14 19:28:54,Senior,105.0,100,2
Sales Ledger Analyst,Specialist Recruit,RH67DE,51.171366,-0.164713,"Sales Ledger Analyst Horley, Surrey (hybrid working) 28-30k plus great benefits Our fantastic client is a fast-growing technology-based business and has built a market-leading position in their industry. They are a passionate, and friendly team who thrives on solving problems and with data integrity at the heart of everything the do. Offering a fantastic working environment, benefits and progression within the business. Key responsibilities &amp... ",28000.0,30000.0,https://www.reed.co.uk/jobs/sales-ledger-analyst/54998733,2025-05-14,data analyst,England,reed,2025-05-14 19:28:54,Mid-level,295.0,1262,1
Graduate AML Analyst,CRA Consulting,Sheffield,53.3806626,-1.4702278,"Job Title: Graduate AML Analyst Location: Sheffield City Centre (with hybrid working) Contract: Full Time, Permanent Salary: 25,000 to 30,000 Role Overview &amp; Daily Responsibilities: This is a permanent position, offering a fantastic opportunity for someone looking build upon existing experience within professional services. In this important role, you will join a thriving Risk &amp; Compliance Team, responsible for managing and maintaining t... ",25000.0,30000.0,https://www.reed.co.uk/jobs/graduate-aml-analyst/54973361,2025-05-09,data analyst,England,reed,2025-05-14 19:28:54,Graduate,,91,6
Payroll Analyst,Bloomberg,London,51.5074456,-0.1277653,"Bloomberg delivers critical information in a world where information matters. We give influential decision makers in business, finance and government an aggressive edge by connecting them to a dynamic network of news, people and ideas. To do that, we need a constant flow of ideas, energy, innovation-which is where you come in. At Bloomberg, you will have the opportunity to go above and beyond and to take risks. Be a part of an organisation that ... ",,,https://www.reed.co.uk/jobs/payroll-analyst/54998701,2025-05-14,data analyst,England,reed,2025-05-14 19:28:54,Mid-level,178.0,26,1
Business Analyst,Harper May Ltd,Central London,51.5234673,-0.2593407,"Harper May is partnering with a leading consulting group that is seeking a commercially minded Business Analyst to support internal operations and lead cross-functional projects. As the business continues to scale, this role is critical to ensuring internal systems, processes, and reporting evolve in line with strategic growth. Role Overview: The Business Analyst will work across departments to identify performance trends, improve internal repor... ",50000.0,60000.0,https://www.reed.co.uk/jobs/business-analyst/54986767,2025-05-13,data analyst,England,reed,2025-05-14 19:28:54,Senior,189.0,54,2
Technical Document Analyst,PIB Group,Gloucester,51.8653705,-2.2458192,"Technical Document Analyst Working as part of the Application Change Management Team, this role will support documentation preparation to support application change and configuration across multiple applications used within the Underwriting &amp; Schemes division within the PIB Group. Key Responsibilities: Support the creation and maintenance of technical documentation including policy wordings, IPIDs, notices of change, policy schedules, certif... ",,,https://www.reed.co.uk/jobs/technical-document-analyst/54950908,2025-05-06,data analyst,England,reed,2025-05-14 19:28:54,Mid-level,230.0,539,1
Graduate Conflicts Analyst,CRA Consulting,Sheffield,53.3806626,-1.4702278,"Job Title: Graduate Conflicts Analyst Location: Sheffield City Centre (Hybrid Working) Salary: 25,000 to 30,000 Contract: Full Time, Permanent Role Overview &amp; Daily Responsibilities: Validate and vet the information on the Conflicts Request Form, employing search engines and other resources; potentially liaising with fee earners to clarify and obtain more information as appropriate. Analyse and interpret at times complex search results from ... ",25000.0,30000.0,https://www.reed.co.uk/jobs/graduate-conflicts-analyst/54973357,2025-05-09,data analyst,England,reed,2025-05-14 19:28:54,Graduate,,91,6
Technical Business Analyst,eFinancialCareers,Glasgow,55.861155,-4.2501687,"Technical Business Analyst - Glasgow / Hybrid - 250- 300 Per Day Inside IR35 Eames Consulting is working with a financial services company to secure the services of a Technical Business Analyst on an initial 6 month contract basis to begin with. Job Description: The Technical Business Analyst is required to become a subject matter expert in the core system functionality, data model and key business processes. Acting as functional SME and interfa... ",,,https://www.reed.co.uk/jobs/technical-business-analyst/55000098,2025-05-14,data analyst,Scotland,reed,2025-05-14 19:28:54,Senior,346.0,478,2
Business Analyst - M&G plc.,eFinancialCareers,Edinburgh,55.9533456,-3.1883749,"At M&amp;G our purpose is to give everyone real confidence to put their money to work. As an international savings and investments business with roots stretching back more than 170 years, we offer a range of financial products and services through Asset Management, Life and Wealth. All three operating segments work together to deliver attractive financial outcomes for our clients, and superior shareholder returns. Through our behaviours of telli... ",,,https://www.reed.co.uk/jobs/business-analyst-m-g-plc/55000273,2025-05-14,data analyst,Scotland,reed,2025-05-14 19:28:54,Mid-level,346.0,482,1
Business Analyst - M&G plc.,eFinancialCareers,Stirling,56.1181242,-3.9360012,"At M&amp;G our purpose is to give everyone real confidence to put their money to work. As an international savings and investments business with roots stretching back more than 170 years, we offer a range of financial products and services through Asset Management, Life and Wealth. All three operating segments work together to deliver attractive financial outcomes for our clients, and superior shareholder returns. Through our behaviours of telli... ",,,https://www.reed.co.uk/jobs/business-analyst-m-g-plc/55000275,2025-05-14,data analyst,Scotland,reed,2025-05-14 19:28:54,Mid-level,346.0,496,1
Analyst - Citi,eFinancialCareers,Belfast,54.5975804,-5.9277097,"Are you looking for a career move that will put you at the heart of a global financial institution? Then bring your skills in analysis, problem solving and communication to Citi Belfast. By Joining Citi, you will become part of a global organisation whose mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Team/Role Overview This is an analyst position with... ",,,https://www.reed.co.uk/jobs/analyst-citi/55000036,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
Analyst - Citi,eFinancialCareers,Belfast,54.5975804,-5.9277097,"Are you looking for a career move that will put you at the heart of a global financial institution? Then bring your skills in analysis, problem solving and communication to Citi Belfast. By Joining Citi, you will become part of a global organisation whose mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Team/Role Overview This is an analyst position with... ",,,https://www.reed.co.uk/jobs/analyst-citi/55000035,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
"Business Data Analyst - Banking, Tableau, Python - Harvey Nash",eFinancialCareers,Belfast,54.5975804,-5.9277097,"Business Data Analyst - Banking, Tableau, Python sought by leading investment bank based in Belfast. **Inside IR35 - 3 days a week on site** Key Skills: The role is part of the Markets Front Office organisation and will be a key part of the in-business Risk &amp; Control team responsible for implementing specific controls within the broader Markets preventative booking control framework. This is an exciting opportunity for a practically minded, ... ",,,https://www.reed.co.uk/jobs/business-data-analyst-banking-tableau-python-harvey-nash/54999961,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
Analyst - Citi,eFinancialCareers,Belfast,54.5975804,-5.9277097,"Citi Overview: Citi is a world-leading global bank. We have approximately 200 million customer accounts and a presence in more than 160 countries and jurisdictions worldwide. We provide consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management. We enable cli... ",,,https://www.reed.co.uk/jobs/analyst-citi/55000137,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
Analyst - Ernst & Young.,eFinancialCareers,Belfast,54.5975804,-5.9277097,"People Advisory Services (PAS) Managed Services - Operations Hub Analysts This is a fixed term contract of 1 year, there may be opportunity for this to become permanent. At EY, you'll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we're counting on your unique voice and perspective to help EY become even better, too. Join us and build... ",,,https://www.reed.co.uk/jobs/analyst-ernst-young/54999266,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
Support Analyst - Citi,eFinancialCareers,Belfast,54.5975804,-5.9277097,The Apps Support Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the subfunction/ job family. Applies analytical thinking and knowledge of data analys... ,,,https://www.reed.co.uk/jobs/support-analyst-citi/55000225,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Mid-level,346.0,517,1
Senior Business Analyst - Citi,eFinancialCareers,Belfast,54.5975804,-5.9277097,"Overview Citi is a world-leading global bank. We have approximately 200 million customer accounts and a presence in more than 160 countries and jurisdictions worldwide. We provide consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management. We enable clients t... ",,,https://www.reed.co.uk/jobs/senior-business-analyst-citi/55000117,2025-05-14,data analyst,Northern Ireland,reed,2025-05-14 19:28:56,Senior,346.0,517,2
